name,score,reviewNum,price,link
제주 길리리조트,5.0,67.0,180000.0,/pension/1000100762
"제주 루마인펜션(비치썬라이즈,파티-퍼즈바 대여)",4.3,378.0,129000.0,/pension/1000100762
서귀포 선셋코스트 카라반&캠핑장,5.0,2.0,120000.0,/pension/1000100762
제주 선흘안풀빌라(넓은평수 감성숙소),4.9,15.0,240000.0,/pension/1000100762
서귀포 블루마운틴4255리조트,4.5,162.0,119000.0,/pension/1000100762
제주 애월애독채펜션,4.6,8.0,,/pension/1000100762
"제주 로비나발리플러스(신축,오션뷰)",5.0,145.0,230000.0,/pension/1000100762
제주 애월브릭하우스펜션,5.0,22.0,,/pension/1000100762
제주 로비나발리168펜션(신축),5.0,226.0,110000.0,/pension/1000100762
제주 애월 씨앤스타펜션(신축펜션),4.7,154.0,,/pension/1000100762
서귀포 청리조트,4.8,68.0,79000.0,/pension/1000100762
제주 화이트하우스펜션,4.0,1.0,55000.0,/pension/1000100762
서귀포 에코스위츠펜션,4.8,43.0,126500.0,/pension/1000100762
서귀포 스테이디앤디풀빌라,4.6,107.0,120000.0,/pension/1000100762
제주 29애월풀빌라,5.0,19.0,129000.0,/pension/1000100762
제주 머문펜션 (개별 편백나무 사우나 추가금 없음),5.0,4.0,169000.0,/pension/1000100762
서귀포 걷다보면윤노리낭펜션,5.0,11.0,180000.0,/pension/1000100762
서귀포 블랙랜드레이스펜션,4.1,150.0,129000.0,/pension/1000100762
제주 산티아고풀빌라(신축),4.8,19.0,231000.0,/pension/1000100762
제주 윈드밀108풀빌라,5.0,344.0,189000.0,/pension/1000100762
서귀포 행복한집풀빌라,,,290000.0,/pension/1000100762
서귀포 마녀의언덕펜션(리뉴얼),5.0,36.0,125000.0,/pension/1000100762
제주 아쿠아뷰티크풀빌라(월정리),4.5,128.0,,/pension/1000100762
제주 미아독채풀빌라,4.8,49.0,339000.0,/pension/1000100762
제주 나인스파빌펜션(인기짱 바베큐),4.1,614.0,79200.0,/pension/1000100762
서귀포 블루마운틴4255리조트,4.5,162.0,119000.0,/pension/1000100762
제주 하이맘키즈펜션실버,4.8,6.0,111500.0,/pension/1000100762
제주 주월담펜션,5.0,15.0,220000.0,/pension/1000100762
서귀포 후하우스풀빌라,4.7,54.0,173550.0,/pension/1000100762
서귀포 제주하이맘키즈가족펜션블랙,4.8,39.0,89000.0,/pension/1000100762
서귀포 캐슬렉스제주골프빌라펜션,,,,/pension/1000100762
"제주 써니펜션 (BBQ 맛집,돌고래 전망 바닷가앞)",4.9,682.0,89000.0,/pension/1000100762
"서귀포 힐링스파펜션(스파사우나무료, 비대면입실)",4.5,506.0,65000.0,/pension/1000100762
제주 바다위에펜션,4.9,602.0,109000.0,/pension/1000100762
서귀포 제주벨루가 풀빌라(조식무료),5.0,41.0,,/pension/1000100762
"제주 작약꽃펜션(곽지해변,스파)",4.7,21.0,146000.0,/pension/1000100762
"서귀포 마가렛펜션(연박이벤트,리뉴얼,친환경감귤농장체험)",4.7,435.0,79000.0,/pension/1000100762
서귀포 마린포트리조트,4.6,119.0,89010.0,/pension/1000100762
제주 애월사랑펜션( 리모델링완료),4.4,34.0,58500.0,/pension/1000100762
서귀포 내려놓기펜션,5.0,7.0,,/pension/1000100762
서귀포 제주키즈가족바닷가하우스펜션,4.9,33.0,177100.0,/pension/1000100762
제주 돌담이우다펜션,5.0,27.0,193000.0,/pension/1000100762
"제주 보롬코지펜션(전객실오션뷰,신축)",4.6,381.0,114000.0,/pension/1000100762
"서귀포 산방산에머물다펜션 (★비대면입실,반신욕기무료)",4.5,424.0,69000.0,/pension/1000100762
제주 그림리조트,3.9,115.0,50000.0,/pension/1000100762
제주 달빛고운펜션,4.8,165.0,50000.0,/pension/1000100762
"제주 월정씨하루(신축,편백나무탕)",4.8,369.0,109000.0,/pension/1000100762
제주 미스미스터펜션(독채히노끼탕유료),4.9,145.0,160000.0,/pension/1000100762
제주 빨간풍차펜션,4.3,146.0,35100.0,/pension/1000100762
"제주 금성487펜션 (애월,곽지해수욕장,신축)",5.0,33.0,115000.0,/pension/1000100762
제주 소풍이야기펜션,4.7,175.0,80000.0,/pension/1000100762
서귀포 고래의꿈펜션,4.9,125.0,90000.0,/pension/1000100762
제주 로그맨하우스펜션,4.8,191.0,55000.0,/pension/1000100762
서귀포 대정시크릿풀빌라,3.8,12.0,90000.0,/pension/1000100762
서귀포 한훤펜션,5.0,1.0,,/pension/1000100762
"제주 하얀별펜션(★낭만뷰특가,구엄리염전)",4.4,182.0,40000.0,/pension/1000100762
서귀포 제주스마일펜션,4.9,9.0,,/pension/1000100762
서귀포 파미유키즈리조트,4.5,143.0,80000.0,/pension/1000100762
서귀포 블랑블루펜션,4.6,100.0,79000.0,/pension/1000100762
서귀포 제주스카이힐펜션,4.6,19.0,55000.0,/pension/1000100762
제주 포엠하우스펜션,4.4,9.0,54000.0,/pension/1000100762
제주 비긴어게인펜션(전면통창),5.0,62.0,166000.0,/pension/1000100762
서귀포 블라섬펜션(23년신축독채),4.7,10.0,,/pension/1000100762
제주 월정산도롱펜션(신축독채),5.0,66.0,148400.0,/pension/1000100762
제주 단겸펜션 (월정리해수욕장),4.7,239.0,59000.0,/pension/1000100762
제주 쥬디스펜션(이호테우해변),4.8,350.0,169000.0,/pension/1000100762
서귀포 아리아펜션,,,,/pension/1000100762
서귀포 뜨리바다펜션,4.2,53.0,90000.0,/pension/1000100762
서귀포 가시리유채꽃길펜션,4.9,35.0,58500.0,/pension/1000100762
제주 오름달펜션,5.0,4.0,,/pension/1000100762
서귀포 더조은하우스펜션(18.6월신축),4.9,192.0,99000.0,/pension/1000100762
제주 제주펜션선빈,4.3,49.0,66500.0,/pension/1000100762
서귀포 제주봄뮤지엄스테이펜션,5.0,37.0,112000.0,/pension/1000100762
제주 완이(e)-클라쓰펜션,5.0,22.0,77000.0,/pension/1000100762
제주 몽돌리조트(신축독채),4.7,32.0,,/pension/1000100762
서귀포 이디오라게펜션,5.0,1.0,89000.0,/pension/1000100762
제주 어느멋진날풀빌라(23년신축),5.0,19.0,,/pension/1000100762
제주 펀빌펜션(곽지해수욕장),4.8,96.0,79000.0,/pension/1000100762
서귀포 솔라시도펜션,5.0,120.0,90000.0,/pension/1000100762
제주 후니미니펜션,4.7,34.0,63000.0,/pension/1000100762
"서귀포 산방산에펜션(개별바베큐,탄산온천반값할인권증정)",4.6,52.0,80000.0,/pension/1000100762
제주 휴양펜션돌과바람,4.5,28.0,90000.0,/pension/1000100762
제주 월정힐펜션(신축.휴게실.풀장),4.8,116.0,,/pension/1000100762
제주 스테이산타루치아펜션,4.4,418.0,71200.0,/pension/1000100762
제주 노을정원온수풀빌라,4.9,131.0,150000.0,/pension/1000100762
제주 별마로펜션,4.3,10.0,54000.0,/pension/1000100762
제주 휴인애월펜션,5.0,19.0,60000.0,/pension/1000100762
제주 곱은달집펜션,5.0,36.0,70000.0,/pension/1000100762
서귀포 하원가펜션(18.6월신축),5.0,23.0,,/pension/1000100762
제주 인(in)두모리펜션,4.6,14.0,200000.0,/pension/1000100762
"제주 풀빌라소랑(소랑타입 프라이빗풀 무료제공, 스누피가든 할인권 제공)",4.6,96.0,88110.0,/pension/1000100762
"제주 모퉁이작은집펜션(협재,금능해수욕장)",,,159000.0,/pension/1000100762
제주 서쪽바다펜션,5.0,3.0,200000.0,/pension/1000100762
제주 빈티지1950펜션,4.5,600.0,84000.0,/pension/1000100762
서귀포 중문행복스케치펜션(4인 8만원),4.8,26.0,65000.0,/pension/1000100762
서귀포 라임오렌지빌펜션,4.6,48.0,65000.0,/pension/1000100762
서귀포 중문씨에나펜션(4인 8만원),5.0,15.0,60000.0,/pension/1000100762
제주 유메오르펜션,4.9,21.0,71200.0,/pension/1000100762
"서귀포 JB풀빌라(남원점,키즈,독채)",4.6,47.0,139000.0,/pension/1000100762
제주 웅이네펜션,,,170000.0,/pension/1000100762
"서귀포 힐링스파펜션(스파사우나무료, 비대면입실)",4.5,506.0,65000.0,/pension/1000100762
"서귀포 산방산에머물다펜션 (★비대면입실,반신욕기무료)",4.5,424.0,69000.0,/pension/1000100762
"제주 제주에서돌고래를만난다면(바베큐 맛집,바닷가오션뷰)",4.6,466.0,89000.0,/pension/1000100762
서귀포 에이지하우스펜션,4.4,137.0,47000.0,/pension/1000100762
서귀포 소로안펜션,5.0,3.0,60000.0,/pension/1000100762
제주 금단영펜션,4.9,404.0,89000.0,/pension/1000100762
제주 바다드림펜션,4.7,42.0,50000.0,/pension/1000100762
제주 옥상달빛펜션(신축.독채펜션),4.9,19.0,,/pension/1000100762
제주 애월이문간하우스펜션(19년신축),4.8,27.0,104900.0,/pension/1000100762
서귀포 등대와올레길펜션,4.0,24.0,39000.0,/pension/1000100762
서귀포 돌담한길펜션,4.7,16.0,188200.0,/pension/1000100762
서귀포 순진한가,4.8,29.0,115000.0,/pension/1000100762
제주 바다풍경펜션,4.5,40.0,,/pension/1000100762
서귀포 다와풀빌라애견동반펜션,4.7,8.0,112000.0,/pension/1000100762
서귀포 코자 호텔,4.6,105.0,,/pension/1000100762
서귀포 누가빌리지펜션,,,150000.0,/pension/1000100762
제주 해피펜션,5.0,61.0,60000.0,/pension/1000100762
서귀포 864펜션,,,139000.0,/pension/1000100762
서귀포 아이올레키즈풀빌라,5.0,9.0,,/pension/1000100762
서귀포 올레브릿지하우스펜션,5.0,32.0,60000.0,/pension/1000100762
"제주 금성487펜션 (애월,곽지해수욕장,신축)",5.0,33.0,115000.0,/pension/1000100762
제주 돌담이우다펜션,5.0,27.0,193000.0,/pension/1000100762
제주 로비나발리168펜션(신축),5.0,226.0,110000.0,/pension/1000100762
"제주 로비나발리플러스(신축,오션뷰)",5.0,145.0,230000.0,/pension/1000100762
제주 히든힐호텔,4.9,84.0,,/pension/1000100762
서귀포 청리조트,4.8,68.0,79000.0,/pension/1000100762
제주 월정산도롱펜션(신축독채),5.0,66.0,148400.0,/pension/1000100762
"서귀포 꾸꾸풀빌라(22년신축,키즈,독채)",4.9,29.0,139000.0,/pension/1000100762
"제주 플라이진하우스펜션(가족,온돌)",4.8,48.0,49000.0,/pension/1000100762
제주 제주펜션선빈,4.3,49.0,66500.0,/pension/1000100762
"서귀포 고투베드리조트(반려견,일출)",4.5,57.0,49000.0,/pension/1000100762
제주 하늘만큼땅만큼펜션(개별파티룸&노래방 제공),4.9,85.0,130000.0,/pension/1000100762
제주 우도모닝펜션,5.0,30.0,150000.0,/pension/1000100762
서귀포 제주하이맘키즈가족펜션블랙,4.8,39.0,89000.0,/pension/1000100762
제주 비치하우스펜션,4.4,44.0,63900.0,/pension/1000100762
제주 솔펜션(객실에서보는제주일출),4.2,55.0,75000.0,/pension/1000100762
제주 장전1038펜션,5.0,22.0,,/pension/1000100762
제주 포니제주펜션,5.0,11.0,104000.0,/pension/1000100762
제주 애월오션스테이펜션,4.2,62.0,61200.0,/pension/1000100762
서귀포 컬러인제주펜션,4.7,17.0,89000.0,/pension/1000100762
서귀포 제주키즈가족바닷가하우스펜션,4.9,33.0,177100.0,/pension/1000100762
서귀포 제주스마일펜션,4.9,9.0,,/pension/1000100762
서귀포 돔그라미펜션,4.7,132.0,160000.0,/pension/1000100762
서귀포 스테이디앤디풀빌라,4.6,107.0,120000.0,/pension/1000100762
제주 젠틀리조트펜션,4.0,57.0,49000.0,/pension/1000100762
서귀포 미들도어펜션(리뷰이벤트 할인 진행중),5.0,18.0,,/pension/1000100762
서귀포 르페도라펜션(피크닉세트무료),4.4,12.0,79000.0,/pension/1000100762
제주 너우렁펜션,4.8,30.0,60000.0,/pension/1000100762
"제주 호영팜스테이펜션(신축,복층)",4.9,13.0,125100.0,/pension/1000100762
서귀포 가시리유채꽃길펜션,4.9,35.0,58500.0,/pension/1000100762
제주 마커스마운틴펜션(신규오픈),4.8,29.0,,/pension/1000100762
서귀포 하버39호텔앤리조트,4.6,19.0,40000.0,/pension/1000100762
"제주 리버풀앤스파펜션(21년신축,협재해수욕장)",4.9,29.0,195250.0,/pension/1000100762
서귀포 게우지코지펜션,5.0,13.0,82000.0,/pension/1000100762
제주 쥬디스펜션(이호테우해변),4.8,350.0,169000.0,/pension/1000100762
제주 주월담펜션,5.0,15.0,220000.0,/pension/1000100762
서귀포 꿈꾸는제주펜션,4.9,12.0,60000.0,/pension/1000100762
제주 우도수평선스테이펜션,5.0,50.0,130000.0,/pension/1000100762
제주 하늘키즈펜션,4.8,20.0,119000.0,/pension/1000100762
제주 몽돌리조트(신축독채),4.7,32.0,,/pension/1000100762
서귀포 바다의향기펜션,4.9,14.0,69000.0,/pension/1000100762
제주 로그맨하우스펜션,4.8,191.0,55000.0,/pension/1000100762
제주 고파크펜션,4.4,52.0,59000.0,/pension/1000100762
제주 더하우스펜션,4.5,34.0,55000.0,/pension/1000100762
제주 스테이제주작은별펜션,4.6,15.0,80000.0,/pension/1000100762
제주 월정가옥펜션,4.7,41.0,120000.0,/pension/1000100762
제주 더제이드호텔(동문시장도보2분),4.7,250.0,161200.0,/pension/1000100762
제주 애월 씨앤스타펜션(신축펜션),4.7,154.0,,/pension/1000100762
서귀포 스테이아름삼달펜션,5.0,14.0,,/pension/1000100762
제주 펀빌펜션(곽지해수욕장),4.8,96.0,79000.0,/pension/1000100762
제주 더갤러리모던펜션,4.7,14.0,125300.0,/pension/1000100762
제주 퓨어스테이오션리조트,4.6,18.0,50000.0,/pension/1000100762
"제주 파도소리펜션(자전거,낚시대 무료대여,해돋이명소)",4.8,8.0,75000.0,/pension/1000100762
서귀포 바다마루펜션,5.0,19.0,70000.0,/pension/1000100762
"제주 애월의아침펜션(공항15분거리,단체)",4.7,47.0,170000.0,/pension/1000100762
제주 오름달펜션,5.0,4.0,,/pension/1000100762
서귀포 소금막호스텔펜션,4.2,27.0,45000.0,/pension/1000100762
제주 레드클레이펜션,4.9,38.0,55000.0,/pension/1000100762
제주 우도사랑펜션,5.0,42.0,140000.0,/pension/1000100762
서귀포 걷다보면윤노리낭펜션,5.0,11.0,180000.0,/pension/1000100762
서귀포 타이스토리펜션,5.0,21.0,69000.0,/pension/1000100762
제주 꽃향기바다소리펜션(협재해변인근),5.0,12.0,,/pension/1000100762
서귀포 해와돌바라기펜션,5.0,16.0,55000.0,/pension/1000100762
서귀포 굿모닝하우스펜션,4.6,16.0,,/pension/1000100762
제주 더포레스트애월,4.3,16.0,138150.0,/pension/1000100762
제주 랑데뷰펜션,4.7,98.0,79000.0,/pension/1000100762
제주 애월코스트34펜션,4.4,9.0,47000.0,/pension/1000100762
서귀포 하이맘키즈가족펜션골드,3.8,21.0,99000.0,/pension/1000100762
제주 선스테이호텔펜션(신축),4.8,12.0,74700.0,/pension/1000100762
제주 바나바하도펜션,4.8,56.0,,/pension/1000100762
서귀포 제주더비비스펜션,4.7,29.0,,/pension/1000100762
제주 순덕이별당펜션,4.4,21.0,90000.0,/pension/1000100762
서귀포 팜밸리풀빌라,4.6,121.0,83500.0,/pension/1000100762
서귀포 내려놓기펜션,5.0,7.0,,/pension/1000100762
서귀포 컨트리팜펜션(조식제공),4.4,11.0,48000.0,/pension/1000100762
"서귀포 키아오라리조트(애견동반,성산일출봉)",4.8,11.0,55000.0,/pension/1000100762
제주 관음사가는길펜션(한라산인근),4.2,15.0,65000.0,/pension/1000100762
제주 애월UFO펜션,4.8,36.0,50000.0,/pension/1000100762
서귀포 아도록스테이펜션,5.0,10.0,,/pension/1000100762
제주 비라비스테이펜션,4.4,9.0,108200.0,/pension/1000100762
제주 스위스마을뮤렌펜션(414동),4.5,11.0,50000.0,/pension/1000100762
제주 바사팬스파펜션,4.8,10.0,100000.0,/pension/1000100762
제주 프라이빗애월독채펜션,4.8,7.0,,/pension/1000100762
제주 한동이젠펜션,4.6,10.0,51000.0,/pension/1000100762
서귀포 스테이수산펜션,5.0,13.0,100000.0,/pension/1000100762
제주 그림리조트,3.9,115.0,50000.0,/pension/1000100762
서귀포 삼춘네캠핑하우스펜션,4.7,10.0,300000.0,/pension/1000100762
제주 애월바다타운독채펜션,5.0,8.0,,/pension/1000100762
제주 오쿠다펜션,5.0,10.0,260000.0,/pension/1000100762
서귀포 레스트인제주,5.0,9.0,,/pension/1000100762
서귀포 아이섬풀빌라,5.0,7.0,,/pension/1000100762
서귀포 뷰티풀리조트,4.6,10.0,80000.0,/pension/1000100762
서귀포 고래의꿈펜션,4.9,125.0,90000.0,/pension/1000100762
제주 엔젤하우스펜션(애견동반),4.9,69.0,105000.0,/pension/1000100762
서귀포 상상나무키즈펜션,5.0,8.0,79000.0,/pension/1000100762
제주 디오름스파펜션,5.0,8.0,230000.0,/pension/1000100762
서귀포 해바라기펜션,5.0,5.0,70200.0,/pension/1000100762
제주 레아펜션,5.0,37.0,130000.0,/pension/1000100762
제주 스테이다랑쉬펜션,5.0,4.0,85000.0,/pension/1000100762
제주 판포레스트펜션,5.0,8.0,140000.0,/pension/1000100762
제주 완이(e)-클라쓰펜션,5.0,22.0,77000.0,/pension/1000100762
제주 힐링리조트,4.9,22.0,64900.0,/pension/1000100762
제주 안녕대흘펜션,5.0,6.0,,/pension/1000100762
제주 드문펜션,5.0,5.0,100000.0,/pension/1000100762
제주 무아별장독채풀빌라펜션,4.8,6.0,,/pension/1000100762
제주 아꼽다키즈펜션,5.0,8.0,250000.0,/pension/1000100762
제주 채송화펜션,5.0,11.0,90000.0,/pension/1000100762
제주 트레비앙펜션,4.6,196.0,71000.0,/pension/1000100762
제주 탐나는팜펜션,5.0,8.0,119000.0,/pension/1000100762
제주 썸스테이풀빌라,4.9,58.0,190000.0,/pension/1000100762
