name,addr,intro,tag,facility
제주 길리리조트,제주특별자치도 제주시 한림읍 명재로 100-47,"안녕하세요.물빛 예쁜 협재해수욕장 차량 5분 거리의 길리 리조트는 동남아 휴양지인 길리 섬에 온 듯한 감성을 느끼실 수 있습니다.1300여 평의 대지에 200여 개의 야간 조명이 열대 야자수 등 동남 아풍 조경을 비추고 있어 어디서든 멋진 사진을 찍으실 수 있습니다.히노끼탕에서 통창을 통해 귤밭 와 돌담을 볼 수 있는 커플룸, 4인 가족을 위한 패밀리 침대가 있는 넓은 호텔식 객실이 있으며 특히 편백나무 향 가득한 독채 빌라동에는 전용 야외 가든이 있어 프라이빗 한 시간을 즐기실 수 있습니다.","주차가능
개별바베큐
바베큐
히노끼탕
와이파이
독채객실
객실금연
어메니티
커피숍
투어","개별바비큐● 프라이빗 가든에서 낭만적인 시간과 바비큐를 즐기실 수 있습니다.▷ 빌라동 전용독채객실IPTV/WiFi● 무선인터넷 사용 가능객실금연● 객실 내 절대 금연이며 흡연 시 실내클리닝 비용 200,000원이 부과됩니다.어메니티● 전 객실 어메니티와 커피 머신을 사용하실 수 있습니다.바비큐장● 바비큐장 이용 안내▷ 바비큐 이용 시 숯+그릴 사용비는 30,000원입니다. (현장 결제, 사전예약 필수)ㅡ 기본 조미료 제공 (소금, 후추, 허브솔트)▷ 야외에 공동 바비큐장이 마련되어 있습니다. (빌라동은 야외 개별 바비큐장 단독 사용)▷ 오후 6시까지 바비큐 숯 준비가 가능합니다.▷ 숯 추가는 저녁 7시까지 가능, 숯 이용 마무리는 10시까지 입니다.▷ 일몰 시간에 따라 이용 시간의 변동은 있을 수 있습니다.▷ 개인 화기류, 숯, 그릴, 버너 등의 반입은 불가합니다.카페● 길리 카페▷ 자유롭게 이용 가능한 공용 셀프 바 (커피, 차, 제빙기, 정수기 등 이용 가능)히노끼탕● 히노끼탕 안내▷ 히노끼탕은 디럭스룸(히노끼탕 A201, A202, A203호)과 프리미어 스위트룸(히노끼탕 C201호) 객실에만 있습니다.▷ 입욕제는 사용하실 수 없습니다. (히노끼탕이 변질됩니다)▷ 입욕제 사용 적발 시 히노끼탕 손상 비용을 청구합니다.주차가능● 펜션 내에 주차 가능한 공간이 있습니다.투어● 투어 안내▷ 협재해수욕장 : 펜션에서 차량으로 5분▷ 한림공원 : 펜션에서 차량으로 7분▷ 금능해수욕장 : 펜션에서 차량으로 7분▷ 신창 풍차 해안 도로 : 펜션에서 차량으로 14분펜션즐기기발리 길리 섬을 모티브로 한 제주 속 발리200여 개의 조명이 사진 속 당신을 아름답게 비춰드립니다.호텔식 구스다운 침구가 준비되어 있습니다.편안한 휴식을 위한 공간이 될 수 있도록 준비합니다."
"제주 루마인펜션(비치썬라이즈,파티-퍼즈바 대여)",제주특별자치도 제주시 구좌읍 해맞이해안로 2498,,"스파/월풀/욕조
주차가능
오션뷰
해수욕장인근
와이파이
복층구조
이벤트가능
바
커피숍
상비약","스파/월풀*스파 이용시 주의사항·이용가능 객실 : 코지룸·이용시 소음이 발생하므로 새벽시간에는 자제해 주시기 바랍니다.·입욕제는 사용이 금지되어 있습니다. 입욕제 사용으로 고장시 배상금이 청구됩니다.·퇴실 하시기 전 객실 점검이 있으니 안내 번호로 연락 바랍니다. 010-3762-8005-복층· 낙상에 우려가있으니 유아동반시 참고 부탁드립니다.· 침구는 입실 인원에 맞게 사용 부탁드립니다.-IPTV/WiFi· 전 객실 무선인터넷 사용이 가능합니다.-오션뷰-카페· 루마인펜션에서 직접 운영하는 투썸플레이스가 펜션 1층에 있습니다.· 운영 시간 : 오전 9시 ~ 오후 9시까지· 음료 및 케이크 모닝메뉴를 즐기실 수 있으니, 많은 이용 바랍니다.-바(bar)<퍼즈 bar>· 평범한 일상 속 기다리던 휴식 일상 속 블랭크에 담겨질 소중한 추억을 위한 특별한 공간이 있습니다· 제주도 끝마을 종달리 바닷가에 위치한 퍼즈바입니다.· 퍼즈바에서는 간단한 안주류와 수제맥주, 와인, 칵테일을 판매하고 있습니다· 영업시간 : 14:00 ~ 22:00· 공간대여 : 퍼즈바에서는 공연. 워크샵. 기념일. 스몰웨딩. 피로연 등 각종 파티 및 다채로운 이벤트를 기획하실 수 있습니다.· 대여문의 : 010-3762-8005· 커플 손님을 위한 와인패키지 (객실에서도 주문가능)· 구성 : 와인1병 + 오븐에 구운 까망베르치즈와 크래커+ 과일 약간 (소량의 과일 제공)· 가격 : 49,000원<Main Menu>· 나초 피에스타 Nacho Fiesta 13900· 치즈와 야채 미트소스를 오븐에구온 나초칩· 미니소세지 10개와 나초 13900· Fried mini Sausage 10pieces & Nachos· 치킨윙 8개와 나초 13900· Fried Chicken Wing 10pieces & Nachos· 오징어 구이와 땅콩 13900· Grilled Squid with peanuts· 퍼즈 플래터 PAUSE Platter 14900· 3가지 치즈. 호두. 땅콩. 아몬드. 말린 자두. 크랜베리. 크림치즈와 참크래커· 3 Cheese. Walnut. Peanut. Almond. Dried Plum. Dried Cranberry. Cream Cheese & Cracker (상기 견과류는 기재된 사항과 다를 수 있습니다 contents of platter may vary)<Side Menu>+아이스크림 1스쿱 Ice Cream 1scoop 4000<Craft Beer>•맥파이 페일에일 Magpie Pale Ale 6900<Bottle>•싱하 Singha 5900•스텔라 Stella 6900•코로나 Corona 6900<Cocktail>•레드 아이 Red Eye 6900•칼루아 밀크 Kahlua Milk 7900•잭 콕 Jack Cock 8900•블루 라군 Blue Lagoon 8900•미도리 사워 Midori Sour 8900•데낄라 썬라이즈 Tequila Sunrise 8900•블랙러시안 Black Russian 8900•애프리콧 쿨라 Apricot Cooler 9900•블러쉬 김렛 Blush Gimlet 9900•피나 콜라다 Pina Colada 9900(Alcohol / Non Alcohol)•모히또 Mojito 9900(Alcohol / Non Alcohol)•라즈베리 밀크 스무디Raspberry Milk Smoothie 11000(Alcohol / Non Alcohol)· 본 매장은 1인1음료 매장입니다.· 무알콜음료는 이웃 매장인 투썸 플레이스에서도 주문 가능합니다.· The Store policy is 1 drink per person. You can also order non-alcoholic drinks from Twosome Place.-이벤트가능· 장소 : 1층 퍼즈 bar· 워크샵. 기념일. 스몰웨딩. 피로연 등 다채로운 이벤트를 기획하실 수 있습니다.· 문의 : 010-3762-8005-상비약· 고객님의 안전을 위해 비상약을 구비하고 있습니다. (이용 시 관리실 문의)-주차가능· 펜션 앞 넓은 주차공간이 있습니다. 편리하게 이용바랍니다.-해수욕장인근· 루마인펜션은 종달리 앞 바다에 위치해 있어 전객실 오션뷰를 자랑합니다.· 펜션 바로 앞에 종달리 조개체험 어장이 있으며, 하도 해수욕장은 차량 5분 거리에 위치해 있습니다.-펜션즐기기[주변관광지]· 종달해변 : 2.16km· 우도 : 4.24km· 성산일출봉 : 4.50km"
제주 애월브릭하우스펜션,"제주특별자치도 제주시 애월읍 신엄로 52 2,3층",'Brick House' 에메랄드빛 애월바다와 한라산이 안아주는 곳.,"주차가능
바베큐
와이파이
야외테라스
객실금연
커피숍",IPTV/WiFi야외테라스객실금연바비큐장실내 자이글 이용 가능(대여금액 2만원)카페카페(유료이용)현장 상황에 따라 이용불가 할 수 있음주차가능
서귀포 블루마운틴4255리조트,제주특별자치도 서귀포시 성산읍 중산간동로4259,"안녕하세요, 서귀포 블루마운틴풀빌라스파펜션입니다.더없이 맑고 푸른 하늘 아래 그 빛을 그대로 담은 아름다운 정원 사이로 저희 블루마운틴리조트가 자리 잡고 있습니다.블루마운틴 리조트는 저희와 함께 할 소중한 인연들을 기다리며 여행객들의 힐링과 편안한 휴식을 위하여 객실 하나하나 정성 들여 꾸미고 준비하였습니다.[투숙객 특전]특전1 블루마운틴 베이커리카페 전 메뉴 10% 할인특전2 블루마운틴 족욕카페 50% 할인 (족욕+원두커피)","스파/월풀/욕조
주차가능
수영장
풀빌라
바베큐
불멍
와이파이
복층구조
식사가능
체험","스파/월풀· 전객실 자쿠지 (냉수전용)· 이용기간 : 하절기 이용가능· 전 객실 건식 사우나 24시간 사용 가능복층·아동,유아 동반 시 안전에 유의하시길 바랍니다.IPTV/WiFi·객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!·사용 가능 객실 : 전 객실 이용 가능풀빌라수영장★★★ 야외수영장 및 키즈 에어바운스 오픈 ★★★· 무더운 여름! 블루마운틴풀빌라스파펜션 수영장에서 더위 피해가세요~!· 운영 일자 : 하절기 이용가능· 사용 장소 : 야외 공용 수영장· 수심 : 약 1M· 이용 시 유의사항 :· 수영복 착용 부탁드립니다.· 어린이는 반드시 보호자 동반 시 이용이 가능합니다.· 아이들의 안전한 물놀이를 위해 보호자께서는 세심한 주의를 기울여 주시길 바랍니다.바비큐장· 객실 내 테라스 또는 야외 공용 바베큐장· 이용 시 30,000원 (현장결제)불멍[바베큐 세트]· 비용 : 30,000원(현장결제)· 제공 : 숯+그릴+석쇠+가위+집게· 장소 : 객실 내 테라스 / 야외 공용 바베큐장※ 우천 시 이용불가[불멍 세트] - 사전예약 필수· 비용 : 30,000원(현장결제)· 기간 : 9/15 부터· 구성품 : 화로+의자4개+캠핑BOX+장작+오로라 가루+쫀드기· 별도 구매 : 오징어 피데기(大 15,000원), 쥐포(大 3마리 10,000원), 쫀드기(한봉지 2,000원)· 공간상의 이유로 사전에 미리 예약 하시는걸 추천드립니다.식사가능**흑돼지 전문 식당**또또고깃간 2호점 이용가능주차가능·각 객실 앞 주차가능체험[블루마운틴 족욕체험]· 이용 장소 : 블루마운틴 내 족욕체험장· 야놀자 투숙객 족욕 1회 50%할인 이용가능· 이용 시간 : 10시 ~ 18시까지· 소요 시간 : 30분(10분 단위 조절 가능)· 예약 : 예약제로 운영 / 당일 예약 가능[불멍 세트] - 사전예약 필수· 비용 : 30,000원(현장결제)· 기간 : 9/15 부터· 구성품 : 화로+의자4개+캠핑BOX+장작+오로라 가루+쫀드기· 별도 구매 : 오징어 피데기(大 15,000원), 쥐포(大 3마리 10,000원), 쫀드기(한봉지 2,000원)· 공간상의 이유로 사전에 미리 예약 하시는걸 추천드립니다.펜션즐기기[투숙객 혜택]· 커피랜드 입장료 무료· 커피족욕 전원 1회 50%할인 (오전 10시 / 10시 30분 / 오후 4시 / 4시 30분)· 객실내 자쿠지, 사우나 이용 무료[주변 관광지]· 일출랜드 : 1.31km· 성읍민속마을 : 3.92km· 성산일출봉 : 14.29km· 섭지코지 : 13.04km· 아쿠아 플라넷제주 : 11.49km· 상기 안내된 거리는 자동차 기준으로 표기된 점 참고 부탁드립니다.(네이버 길찾기)"
제주 애월 씨앤스타펜션(신축펜션),제주특별자치도 제주시 애월읍 애월로3길 17씨앤스타펜션,저녁 노을이 아름다운 애월 한담 카페거리 하이엔드 입구에 위치한 오션뷰 객실의 제주 애월씨앤스타펜션입니다.2020년 7월에 오픈한 신축펜션입니다.,"주차가능
오션뷰
해수욕장인근
바베큐
와이파이
야외테라스","IPTV/WiFi·객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!·사용 가능 객실 : 전 객실 이용 가능오션뷰야외테라스바비큐장· 사랑하는 사람과 맛있는 바비큐파티를 즐겨보세요 !· 이용 시간 : 입실 시 ~ 22:00시 까지· 이용 장소 : 바비큐장※ 숯+그릴 요금 : 20,000원 (1회 비용)· 예약 : 사전 예약(필수)※ 이용 시 유의사항· 현장 결제이며, 화재에 유의하시기 바랍니다.· 1층 식당 휴게실에서 사계절 바베큐 이용 가능 (세탁기,건조기 무료사용포함)주차가능·펜션 내에 주차 가능한 공간이 있습니다.해수욕장인근· 곽지과물해변펜션즐기기· 1층 중식당· 애견 동반 시 업체 문의 필수· 제주 감귤 서비스· 세탁기와 건조기 무료사용가능· 짐 보관 가능· 1인 추가 시 15,000원[주변관광지]· 애월근린공원· 곽지해수욕장· 제주국제공항· 한라수목원· 한라산 국립공원· 상기 안내된 거리는 자동차 기준으로 표기된 점 참고 바랍니다."
제주 애월애독채펜션,제주특별자치도 제주시 애월읍 신엄1길 12 (애월애휴양펜션),안녕하세요. 제주 애월애독채펜션입니다.제주 애월의 전원주택같은 조용하고 고즈넉한 독채펜션입니다.아이들과 반려동물과 더불어 맘껏 뛰어놀 수 있는 잔디마당이 있고 각 객실 1층테라스에서 오붓하게 바베큐를 즐기실수 있어요.바쁜 생활속에 한번쯤은 조용한 곳에서 푹 쉬며 힐링의 시간을 갖고 싶으실때저희 제주애월애 휴양펜션을 찾아주세요.문열면 단독테라스라 방해받지 않고 바람솔솔 풀냄새 바람냄새 조용한 제주바다바람 불어줘서행복한 기분을 느끼실 수 있을거예요.,"애견동반
주차가능
오션뷰
독채펜션
와이파이
복층구조
야외테라스
독채객실
객실금연
커피숍","독채펜션복층독채객실IPTV/WiFi- 객실 내 무료 Wi-Fi / 넷플릭스오션뷰야외테라스객실금연카페-무료 미니까페 휴게실운영반려동물***반려동물 동반가능 숙소안내**- 33평형: 101동,105동 / 22평형: 109동,111동 /10평형: 110동- 1마리당 1박 이용요금- 10kg이하 :20,000원- 11~20kg이하 :30,000원- 21kg~30kg 이하: 40,000원- 마킹하는 강아지는 매너 밴드를 반드시 착용해야 합니다.- 입질이 있거나, 사나운 강아지는 입실이 제한될 수 있습니다.- 단지 내를 산책하실 때는 목줄을 꼭 착용해 주세요.- 반려동물에 의한 훼손에 따른 세탁 및 수리가 필요할 경우, 복구 비용이 청구 될 수 있습니다.주차가능펜션즐기기ㅁ 침구추가시 10,000원 부과합니다.ㅁ 24개월 이하 영유아는 인원수에 포함되지 않습니다. (무료)ㅁ 공용세탁실(세탁및 건조가능)ㅁ 매달 all care 방역 실시"
"제주 로비나발리플러스(신축,오션뷰)",제주특별자치도 제주시 한림읍 한림해안로 712,"안녕하세요. 로비나발리플러스입니다.로비나발리플러스와 로비나발리168은 형제 펜션입니다.제주 바다 바로 앞에 위치하고 있으며, 주차공간도 넓게 있기 때문에 운전하며 여행하시는 분들도 불편 없이 숙소 이용을 하실 수 있습니다.걸어서 약 7분 거리에 버스정류장이 있어 뚜벅이 여행객분들도 접근하시기 어렵지는 않으실 겁니다.외부 계단이 있기 때문에 객실에 옥상으로 나갈 수 있는 테라스가 없는 원룸형 객실의 손님분들도 야경을 즐기실 수 있고,객실 내에서도 일출을 보실 수 있지만 객실마다 제공되는 무료 카페 쿠폰으로 모닝커피와 함께 옥상에서 일출을 보시는 것도 추천합니다.또한 외부 자쿠지는 자유롭게 이용이 가능합니다.복층형 객실(201호, 202호)에는 다락방이 있기 때문에 또 다른 공간에서의 제주바다를 즐기실 수 있습니다.● 숙소에서 500m내에 편의점이 있습니다● 기타 궁금한 사항은 언제든지 호스트에게 연락 주세요.▷ 010-9820-3082","주차가능
오션뷰
주방
와이파이
복층구조
루프탑
객실금연
식사가능
어메니티
커피숍","복층● 아동, 유아 동반 시 안전에 유의하시길 바랍니다.▷ 해당 객실 : 201호, 202호IPTV/WiFi● 객실에서 데이터 걱정 없이 빠르고 편리하게 인터넷을 즐겨보세요!오션뷰주방객실금연어메니티카페● 로비나발리 카페▷ 이용 장소 : 로비나발리플러스 1층▷ 무인 카페▷ 운영 시간 : 07시~22시루프탑● 루프탑 이용 안내▷ 201호, 202호 : 내부에서 루프탑 이동 가능▷ 원룸 객실 : 외부 계단을 통해서 루프탑 이동 가능식사가능주차가능"
제주 선흘안풀빌라(넓은평수 감성숙소),제주특별자치도 제주시 조천읍 선흘남1길 144-40,"선흘안은 함덕해수욕장 근방 400평 규모의 독채펜션입니다진정한 쉼을 느낄수 있는 자연속 공간을 마련하였고사계절 이용 가능한 온수풀 수영장에서 쉼을 통해 일상에서 만나기 힘든 감성과 추억을 남겨 드립니다.주변관광지는 스누피가든, 세계자연유산으로 등재된 거문오름,제주의 대표적인 해수욕장인 함덕해수욕장이 차량으로 10분거리입니다 공항에서 숙소까지 40분 거리에 있습니다.지대가 높아서 먼 오션뷰와 야경 그리고 쏟아지는 별구경 또한 볼거리입니다.","스파/월풀/욕조
애견동반
주차가능
개별바베큐
오션뷰
수영장(온수/미온수)
야외수영장
풀빌라
키즈
무료영화(OTT)
독채펜션
노천탕
와이파이
복층구조
야외테라스
독채객실
파티가능
객실금연
기본양념
운동장
어메니티
상비약","스파/월풀개별바비큐● 바비큐 이용시 집기비용 3만원 추가요금 발생(바비큐 장비와 집기류 일체대여)● 풀플로팅 주문시 8만원 추가요금 발생(안 타입에서만 주문가능)● 현장결제독채펜션복층독채객실IPTV/WiFi무료영화(OTT)오션뷰야외테라스객실금연어메니티풀빌라수영장(온수/미온수)온(溫) 객실은 수영장이 없습니다.야외수영장노천탕운동장반려동물● 안 : 애견동반 불가능● 반려견 동반정보 : 유료● 반려견 동반 수 : 최대4마리● 추가금액 : 1마리당 20,000원 추가비용발생(박당기준) - 현장결재● 12kg미만 소형견만 동반가능하며 중대형견은 동반이 불가능합니다기본양념상비약주차가능키즈파티가능"
제주 로비나발리168펜션(신축),제주특별자치도 제주시 한림읍 한림해안로 714,안녕하세요?로비나발리168과 로비나발리플러스는 형제펜션입니다.제주올레길 15-b코스 해안도로에 접하고 있어 전 객실 오션뷰로 숙소에 머무는 것 만으로도 제주여행의 진한 감동을 느끼실 수 있습니다.특히 돌출된 해안선에 위치하여 제주바다와 한라산 백록담으로 이어진 파노라마 뷰는 저희 펜션의 자랑입니다.로비나발리에서 일상을 잠시 내려 놓으시고 행복하고 아름다운 추억 담아가시기 바랍니다.예약관련 궁금한 사항은 펜션으로 연락바랍니다.홈페이지 주소 : http://http//jejulovinabali.co.kr/,"주차가능
오션뷰
주방
와이파이
루프탑
객실금연
식사가능
어메니티
커피숍","IPTV/WiFi● 무료이용 가능한 iptv / wifi● 개인아이디로 넷플릭스 이용가능오션뷰● 전객실 오션뷰주방객실금연어메니티[구비시설]● 퀸침대, 냉난방 에어컨, tv, 취사시설, 각종 식기류, 식탁, 냉장고, 전자레인지, 커피포트, 드라이기[어메니티]● 룸비치 : 샴푸, 린스, 바디워시, 1회용 샤워타올, 타올● 프론트비치 : 1회용 치솔 치약, 1회용 면도기카페루프탑● 제주바다와 한라산의 파노라마 뷰를 감상할 수 있는 루프탑식사가능주차가능● 객실 수 초과하는 넓은 주차공간펜션즐기기● 펜션에서 운영하는 무인카페에서 사용가능한 쿠폰 제공● 매일 세탁 후 제공하는 호텔식 침구"
서귀포 선셋코스트 카라반&캠핑장,제주특별자치도 서귀포시 대정읍 노을해안로 232,"안녕하세요. 제주 선셋코스트입니다.여러분의 일상에 Private한 휴식을 선사할 ""Sunset Coast caravan&camping""은제주에서도 빼어난 해안절경을 자랑하는 대정읍 노을해안로에 위치해 있습니다.Sunset Coast는이용객들의 편안한 휴식을 제공하기 위해 각각의 공간들을여유롭고 독립된 공간으로 배치하여자신만의 공간에서 방해받지 않고 보다 편안한 캠핑을 즐기실 수 있습니다.이러한 독립된 공간은 가족, 연인, 친구 등 사랑하는 사람들과 함께아름다운 제주의 자연을 느끼며 프라이빗한 캠핑을 즐기기 매우 이상적입니다.자신만의 공간에서 사랑하는 사람들과 음식을 요리하고, 이야기 나누며,휴식을 하는 등 소중한 추억을 만드세요.Sunset Coast에서의 캠핑은 시간마다 다른 매력이 있습니다.낮에는 멸종위기종인 남방큰돌고래 무리를 만날수 있으며일몰때는 매일 다른 아름다운 노을을 감상 할 수 있는 특권이 주어집니다.밤에는 고요함 속 파도소리와 수많은 별들이 여러분에게 healing의 시간을 선사합니다.또한 caravan&camping 이용객만을 위한 편의시설인샤워장, 화장실, 취사장, 세탁실 등이 완비되어 있어 편리함을 더했으며,Sunset Coast에서의 추억이 더욱 특별하기 바라이용객들에게 자건거 무료대여 서비스를 제공해 드립니다.아름다운 노을해안로를 자유롭게 탐험하며 제주 서쪽해안을 유영하는돌고래를 만나보세요.""Sunset Coast caravan&camping""은 제주의 자연속에서이용객들의 일상에 쉼과 즐거움을 제공하여 refresh 할수 있는 공간이 될 것 입니다.","애견동반
주차가능
개별바베큐
오션뷰
야외테라스
객실금연
체험
대여","개별바비큐- 숯+그릴 이용 : 2~3인 20,000원 / 4~5인 30,000원 / 6인 이상 40,000원- 전 객실 테라스바베큐 가능오션뷰- 저희 선셋코스트는 노을해안로 앞에 위치해 있어 캠핑장 내 어디서든 바다를 바라볼수 있으며, 해양보호생물로 지정된 남방 큰 돌고래 서식지로 종종 출몰하는 돌고래를 보실 수 있습니다.- 고즈넉하고 조용하게 편안한 휴식을 선사해 드립니다.야외테라스객실금연- 객실 내에서는 절대 금연입니다.반려동물- 반려동물과 함께 입실하실 수 있습니다.- 일부카라반 : 고래 / 해안 / 바람주차가능체험* 체험상품 이용가능 (카라반 카크닉)- 캠핑카로 즐기는 카크닉 카라반 이용고객을 위한 체험상품- 캠핑카로 아름다은 제주 여행 가능- 카크닉 이용금액 1시간 : 5,000원대여- 브롬톤자전거 2시간무료제공- 브롬톤자전거를 4대 보유하여 캠핑장 이용객들에게 2시간 무료제공 합니다.- 이곳은 차량이동도 적고 자전거도로 폭도 넓어 편안하게 자전거 도로를 이용하여 아름다운 해안도로를 라이딩 해보세요.(참고, 보유대수가 한정적이라 상황에 따라 이용이 어려울수도 있습니다.)펜션즐기기* 공용시설 운영- 남ㆍ녀 탈의실/샤워실 운영- 남ㆍ녀 화장실 운영- 공동 취사장 운영- 공동 세탁실 운영- 긴급대피소 운영* 밀키트 배달 가능- 카라반에서 다양한 밀키트 메뉴를 배달하여 조리가 가능합니다."
