id,name,addr,lat,lng,dong,detailtype
0,브랭섬홀아시아아이스링크,제주특별자치도 서귀포시 대정읍 글로벌에듀로 234(3번게이트),33.2899717861053,126.287264884162,대정읍 구억리,41
1,(주)제주해양레저투명카약,제주특별자치도 제주시 애월읍 애월로1길 22,33.4623287239726,126.310472392965,애월읍 애월리,42
2,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,33.3578491473629,126.46242448237,색달동,21
3,1100고지(휴게소),제주특별자치도 서귀포시 1100로 1555,33.3578491473629,126.46242448237,색달동,52
4,1100고지습지,제주특별자치도 서귀포시 색달동 산 1-2,33.3575245371214,126.462896523457,색달동,21
5,1112도로,제주특별자치도 제주시 명림로 584 (봉개동),33.4400488067904,126.625203401207,봉개동,52
6,4·3해원방사탑,제주특별자치도 제주시 신산로 82,33.5054858498659,126.534739597022,일도이동,52
7,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.3641266493346,126.605070169993,남원읍 신례리,21
8,5.16도로숲터널,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.3641266493346,126.605070169993,남원읍 신례리,52
9,513텐동,제주특별자치도 제주시 테우해안로 46,33.4957675896913,126.439986583796,내도동,31
10,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,33.3901019408173,126.366630862509,애월읍 어음리,21
11,9.81파크,제주특별자치도 제주시 애월읍 천덕로 880-24,33.3901019408173,126.366630862509,애월읍 어음리,46
12,9연대본부옛터,제주특별자치도 서귀포시 대정읍 상모리 3392-3,33.2308336103709,126.262690091467,대정읍 상모리,52
13,Cafe몽스파,제주특별자치도 제주시 서사로 28,33.5098306939312,126.519546932598,삼도일동,31
14,M1971요트투어,제주특별자치도 서귀포시 대정읍 최남단해안로 128,33.2101161544348,126.257132162474,대정읍 하모리,21
15,OK승마장,제주특별자치도 서귀포시 표선면 번영로 2595,33.4027748167943,126.783193857633,표선면 성읍리,45
16,SM디지털아트뮤지엄,제주특별자치도 제주시 애월읍 애월해안로 516-7,33.4776700973418,126.360000440645,애월읍 신엄리,22
17,THEWE,제주특별자치도 서귀포시 1100로 453-95,33.2858507894235,126.444618497938,회수동,33
18,THEWE,제주특별자치도 서귀포시 1100로 453-95,33.2858507894235,126.444618497938,회수동,46
19,minagrooming(미나그루밍),제주특별자치도 제주시 한림읍 한림해안로 116,33.4134758994744,126.259879733717,한림읍 한림리,12
20,minagrooming(미나그루밍),제주특별자치도 제주시 한림읍 한림해안로 116,33.4134758994744,126.259879733717,한림읍 한림리,21
21,minagrooming(미나그루밍),제주특별자치도 제주시 한림읍 한림해안로 116,33.4134758994744,126.259879733717,한림읍 한림리,45
22,minagrooming(미나그루밍),제주특별자치도 제주시 한림읍 한림해안로 116,33.4134758994744,126.259879733717,한림읍 한림리,51
23,가마오름,제주특별자치도 제주시 한경면 청수서5길 63,33.3058185911377,126.249548049838,한경면 청수리,11
24,가마오름진지동굴,제주특별자치도 제주시 한경면 청수서5길 63,33.3058185911377,126.249548049838,한경면 청수리,52
25,가메오름,제주특별자치도 제주시 애월읍 고내리 125,33.4643619920749,126.351247313808,애월읍 고내리,11
