,noun,cnt
81,사진,2691
212,카페,2280
111,바다,2201
56,사람,1967
184,맛집,1192
91,날씨,978
175,가족,948
173,친구,915
333,위치,902
600,코스,888
814,오름,872
20,서귀포,818
421,거리,812
1222,해수욕장,775
201,해변,756
12,커피,717
446,풍경,706
38,구경,695
61,아기,693
323,비용,687
161,주차,672
276,식당,671
86,바람,661
1328,하우스,635
117,산책,634
567,분위기,613
582,체험,608
338,함덕,575
956,올레길,567
1002,음식,560
92,한라산,549
758,애월,541
675,정리,538
177,기분,533
627,공항,533
1010,메뉴,506
242,주차장,488
195,식사,488
755,마을,487
800,걱정,486
154,우도,473
275,돼지,472
935,남편,468
51,가면,466
346,겨울,462
105,주변,460
949,생활,459
458,힐링,457
744,직접,456
101,입구,437
501,테이블,434
194,라면,431
711,마당,426
1997,비행기,426
356,개인,418
172,기도,418
364,고기,409
981,버스,409
765,여름,405
616,고민,401
635,나무,398
503,자연,393
95,도로,391
404,여유,391
469,시설,387
109,먹기,384
1309,가게,381
239,손님,380
530,하늘,380
440,감성,372
1681,노을,365
217,먼저,361
403,추억,358
491,확인,357
6,보기,349
334,내부,345
1923,올레,341
586,차량,340
715,검색,335
281,동쪽,334
568,야외,332
485,요리,332
563,모든,331
621,제주시,328
94,해안,328
918,소품,327
284,성산,326
910,동네,326
371,관광지,322
1924,시장,321
581,물놀이,320
247,성산일출봉,310
17,김밥,310
970,숲길,310
233,포장,309
1940,게스트,298
386,육지,295
887,최고,294
426,음료,292
47,구매,291
816,이름,286
1083,경험,284
1401,장소,283
329,마트,278
165,안내,278
279,오션,277
668,수도,277
782,블로그,273
419,차로,273
1306,박물관,272
441,오후,271
522,멀리,270
96,길이,266
946,유채꽃,266
2400,공원,265
2492,벚꽃,263
547,실내,262
610,지역,260
2718,포토,259
432,정보,257
784,기록,256
292,기준,255
524,지인,252
2016,파티,251
271,감귤,248
1432,매력,247
1366,모래,246
671,창문,246
295,개월,246
926,한잔,246
924,협재,245
1110,무료,245
2263,벌써,243
1593,입장,242
425,정원,241
146,소리,240
166,관리,239
4249,국수,237
375,네이버,236
277,맥주,235
764,바닷가,235
1377,순간,234
342,주인,234
1052,표선,233
2633,칼국수,233
1725,어제,232
3128,전복,231
584,일상,231
126,지도,231
493,나중,229
521,테라스,228
958,항상,226
908,제대로,226
385,포함,225
415,서귀포시,223
617,발견,222
408,중문,222
298,부부,221
545,영상,221
690,예전,220
192,예정,220
559,오픈,219
481,여러,218
933,보통,217
732,문의,217
83,촬영,216
525,장점,215
490,대한,214
511,빨래,214
1599,파도,214
1101,사이,213
761,시골,213
7,결정,212
991,청소,212
387,부모님,212
1075,편이,211
881,자체,209
379,선물,208
1750,폭포,208
523,그림,207
722,장기,207
1151,갈치,206
707,나름,206
225,통해,206
542,오전,205
70,더욱,204
760,돌담,204
1033,걷기,203
1417,수영장,203
113,보이,203
2345,정상,203
957,캠프,203
152,내일,203
140,우동,203
955,달이,202
5000,사려,202
515,강아지,201
418,관광,199
1623,이후,198
1565,필수,198
531,갑자기,198
381,구입,198
922,시내,197
437,전체,196
103,물이,196
1786,종류,196
818,하니,196
174,운전,196
114,크게,195
442,가을,195
745,곳도,194
282,서쪽,194
39,한림,194
120,방법,193
31,반찬,192
1474,휴무,191
1719,돈까스,190
3072,요금,189
305,할인,189
231,설명,186
1498,인기,185
69,크기,184
624,가능,183
2360,비자림,183
2600,사랑,182
1701,인생,182
102,편의점,182
572,내내,181
1130,가끔,181
170,거기,181
4013,쉐어,179
2037,오빠,178
474,설치,178
1572,한참,177
533,일몰,177
735,지원,177
2116,국물,176
927,방이,176
753,구조,176
1049,수가,176
1156,동생,175
411,동반,175
710,리조트,174
3023,민박,174
2474,오시,173
730,주말,172
286,가성,172
1507,투어,172
2625,고양이,172
601,새벽,172
900,그대로,172
1190,상태,172
2102,맑음,171
681,마련,171
93,바퀴,170
534,기대,170
463,사이즈,170
948,휴식,170
961,명소,170
1108,스탭,169
3689,파크,168
199,아이스크림,167
1012,조식,167
228,직원,166
63,데리,166
1197,세트,166
3067,낚시,166
372,입장료,166
1240,운동,165
1159,이건,165
2503,달라,164
602,일출,164
1177,오기,164
367,재료,164
708,여자,164
1955,에어컨,164
1645,찍기,163
724,문제,163
339,타운하우스,163
1529,만큼,162
562,이기,161
968,둘레길,161
854,왼쪽,161
294,금액,161
527,금방,161
1092,올해,160
672,계절,160
2012,첫날,160
841,식탁,160
221,지난,160
882,재미,159
1471,영업,159
1372,잡고,159
1586,구름,159
229,대해,159
468,일이,159
99,산책로,158
904,간다,158
923,산방산,157
2665,마리,157
23,전화,157
1305,해녀,157
967,프로그램,156
4497,고등어,155
862,전혀,154
1729,도민,154
1938,얘기,154
687,수건,153
316,하나로마트,153
1217,바닥,153
589,일반,151
492,샤워,151
232,서비스,150
430,진행,150
518,구비,150
517,그릇,149
942,감상,149
296,이유식,149
397,실제,148
1962,당근,147
640,규모,147
1127,디저트,146
1889,주택,146
3544,구이,146
1336,인스타,145
587,선적,145
85,어린이,145
596,캠핑,145
1790,매장,145
1051,포구,145
243,무조건,143
2049,가까이,143
636,곳곳,142
1933,서핑,142
41,자고,142
850,오른쪽,142
