name,ammen,title,condition,rating,reviewNum,location
[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',생활시설 주차장 엘리베이터 TV 케이블 TV 에어컨 와이파이 세탁기 (개인) 도어락 헤어 드라이기 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 주요정책 가족/ 어린이환영 반려동물 가능 취사가능 실내 금연 특장점 바다 근처 제주스러움,[제주/한림] #애견동반 가능 #논밭뷰 #복층다락방 '스테이 앤틱',6박,4.7,18.0,한림읍
[친환경 숙소] [제주/애월] #최대18명 #방5개 부엌2개 #워크샵 #대가족 #단체손님 #소형 수영장 #개인 마당 #옥상 '돌담 하우스',생활시설 주차장 TV 케이블 TV 에어컨 와이파이 욕조 세탁기 (개인) 도어락 세면도구 수건 헤어 드라이기 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 여가시설 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 바다 근처 제주스러움 마당,[친환경 숙소] [제주/애월] #최대18명 #방5개 부엌2개 #워크샵 #대가족 #단체손님 #소형 수영장 #개인 마당 #옥상 '돌담 하우스',6박,4.7,24.0,애월읍
[제주/제주시]  #신축 레지던스 #제주시내 초근접 #공항10분거리 #취사가능 : 센터포인트 N,생활시설 주차장 엘리베이터 TV 케이블 TV 에어컨 와이파이 세탁기 (개인) 도어락 세면도구 수건 헤어 드라이기 욕조 건조기 주방시설 전기포트 전자레인지 밥솥 냉장고 식기 (그릇) 여가시설 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 대중교통,[제주/제주시]  #신축 레지던스 #제주시내 초근접 #공항10분거리 #취사가능 : 센터포인트 N,6박,4.8,245.0,노형동
[서귀포/안덕] #프리미엄 스테이 #중문관광단지 인접 #소파 #엔티크 인테리어 알리앙스 인 제주,생활시설 주차장 엘리베이터 TV 케이블 TV 에어컨 와이파이 세탁기 (개인) 도어락 헤어 드라이기 세면도구 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 대중교통 바다 근처 제주스러움 마당,[서귀포/안덕] #프리미엄 스테이 #중문관광단지 인접 #소파 #엔티크 인테리어 알리앙스 인 제주,14박,4.5,82.0,안덕면
[제주시] 제주공항 근처 나만 알고 싶은 포근한 대가족 펜션 / 키즈 펜션,생활시설 주차장 TV 케이블 TV 에어컨 와이파이 세탁기 (개인) 건조기 도어락 세면도구 수건 헤어 드라이기 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 여가시설 수영장 바비큐 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 대중교통 제주스러움 마당,[제주시] 제주공항 근처 나만 알고 싶은 포근한 대가족 펜션 / 키즈 펜션,6박,5.0,75.0,신비마을1길
[제주/애월] 한담해변 근처 토비스콘도,생활시설 주차장 엘리베이터 TV 케이블 TV 에어컨 와이파이 세면도구 구급 상자 수건 헤어 드라이기 세탁기 (공용) 도어락 세탁기 (개인) 다리미 주방시설 전기포트 밥솥 식기 (그릇) 냉장고 부엌 (공용) 여가시설 바비큐 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 아침식사 대중교통 바다 근처 제주스러움 휠체어 사용 가능 마당 관리비 없음,[제주/애월] 한담해변 근처 토비스콘도,6박,4.2,130.0,애월읍
[친환경 숙소] [제주/조천] 제주 자연을 즐길 수 있는 풍경명소 알밤오름하우스,생활시설 주차장 TV 케이블 TV 에어컨 와이파이 도어락 헤어 드라이기 세탁기 (공용) 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 여가시설 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 대중교통 바다 근처 제주스러움 휠체어 사용 가능,[친환경 숙소] [제주/조천] 제주 자연을 즐길 수 있는 풍경명소 알밤오름하우스,6박,4.6,82.0,조천읍
[제주/애월] #곽지해변바로앞 #넓은구조 #오션뷰 #올리모델링 썬셋맛집 '라운드스테이',생활시설 주차장 TV 케이블 TV 에어컨 와이파이 세탁기 (개인) 도어락 헤어 드라이기 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 대중교통 바다 근처,[제주/애월] #곽지해변바로앞 #넓은구조 #오션뷰 #올리모델링 썬셋맛집 '라운드스테이',14박,4.0,3.0,애월읍
[제주/한림] #럭셔리 한옥 독채 #자쿠지 #야자수 정원 #슈퍼맨이 돌아왔다 방영 '우연재',생활시설 주차장 TV 에어컨 와이파이 욕조 세탁기 (개인) 세면도구 수건 헤어 드라이기 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 여가시설 수영장 테라스 주요정책 가족/ 어린이환영 취사가능 실내 금연 특장점 바다 근처 제주스러움 휠체어 사용 가능 마당 관리비 없음,[제주/한림] #럭셔리 한옥 독채 #자쿠지 #야자수 정원 #슈퍼맨이 돌아왔다 방영 '우연재',6박,5.0,5.0,한림읍
[제주/한림] 협재바다를 품은 제주속 힐링 스테이,생활시설 주차장 TV 케이블 TV 에어컨 와이파이 욕조 세탁기 (개인) 건조기 도어락 세면도구 수건 헤어 드라이기 세탁기 (공용) 구급 상자 다리미 주방시설 전기포트 전자레인지 밥솥 식기 (그릇) 냉장고 부엌 (공용) 여가시설 바비큐 테라스 주요정책 가족/ 어린이환영 반려동물 가능 취사가능 실내 금연 특장점 반려동물 키움 대중교통 바다 근처 제주스러움 휠체어 사용 가능 마당 관리비 없음,[제주/한림] 협재바다를 품은 제주속 힐링 스테이,6박,4.8,54.0,한림읍
