이름,별점,태그,링크,리뷰수,리뷰내용,리뷰날짜,리뷰별점,리뷰태그
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,엄마랑 둘이 성산일출봉!!!! 아침엔 안개로 뒤덮여 잘 안보였던 성산일출봉이 저희가 막 올라가려고 하니까 파란하늘이 점점 나왔어요!! 뜻밖의 하늘에 넘 신나서 엄마랑 저랑 사진을 마구 찍었답니다! 제주도 여러번 오면서 성산일출봉을 멀리서 보기만했는데 왜 이제서야 와봤는지!!!!,2023.12.13,5,"['#성산일출봉', '#성산', '#엄마랑제주도']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,2023.08.04 아쿠아플라넷 제주에서 바라보는 성산일출봉,2023.12.13,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"남편이랑 제주 여행 간게 벌써 3년 전이네요. 그동안 참 바쁘게 사느라 여행을 잊고 산 것 같아요. 사진보니 정말 고생 많이 하는 우리 남편한테 많이 미안해지네요. '제주 여행한 김에, 추억 공유' 라는 이벤트 공모전 덕에 그래도 남편이랑 제주도 가서 찍은 여행 사진 찾아보며 다시금 추억을 회상하게 되네요. 감사합니다. 제주도 여행 가면 성산일출봉은 늘 빠지지 않고 가게 되는 것 같아요. 성산일출봉을 가지 않으면 무언가 제주도 여행한 기분이 안들어서요. 그리고 성산일출봉 갈때마다 정상에서 늘 새로운 고뇌와 다짐을 하게 됩니다 ㅎㅎㅎ 다음 제주도 여행을 기약하며 추억 남기고 갑니다.",2023.12.12,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉을 뒷배경에 두고 바다에서 정말 해보고 싶었던 바다승마를 해서 좋았어요 ^^,2023.12.11,5,"['#제주', '#성산일출봉', '#바다승마']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉의 뒤쪽 해녀분들이 해산물을 팔고 보트투어를 하는쪽으로 내려가면 광치기해변에서의 모습과 또다른 멋진 성산일출봉의 절벽을 볼수있어요~,2023.12.11,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,아침 성산일출봉을 보기 위해 근처로 숙소를 잡고 혼자 아침 산책을 했어요! 출근하신 해녀분들도 보고 아름다운 윤슬에 멀리 보이는 우도까지! 너무 좋은 추억으로 남았답니다 ..♡,2023.12.11,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,성산일출봉의 평온한 아침.,2023.12.09,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"봄에 다녀왔던 제주에서의 행복한 추억 친구랑 가려고 계획한 여행에 친구가 갑자기 일정이 안되어 혼자 다녀온 제주. 하지만, 게스트하우스에서 좋은 분들을 만나 함께한 제주 여행 성산일출봉 근처에서 한 컷 찍었습니다~ㅎㅎ",2023.12.08,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,"어릴적 수학여행으로 많이 방문하는 세계자연유산 성산일출봉 커서 오니 더 좋은걸요? 가슴이 탁 트이고, 절경이 너무나 아름다워 바람을 한참동안이나 맞고 내려왔습니다. 제주 동쪽 바다 깊고 짙어서 마음도 함께 진해지는 것 같아요~ 다시가고 싶습니다.",2023.12.07,5,"['#모먼츠인제주', '#제주', '#성산일출봉']"
성산일출봉(UNESCO 세계자연유산),5,#일출 #오름 #경관/포토,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500349&menuId=DOM_000001718000000000#p1,611,70넘어서 성산일출봉을 처음 가보신 친정아버지와 함께 6살 손자의 좌충우돌 버스타고 제주도 여행기 with찡찡이 버스타기만 하면 꿀잠 예약 1일 만보 필수 튼튼한 다리 만들기,2023.12.04,5,"['##성산일출봉#빽다방아이스크림#보트타기', '##성산일출봉', '#기승전성산일출봉']"
