이름,별점,태그,링크,리뷰수,리뷰내용,리뷰날짜,리뷰별점,리뷰태그
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,"해질녘 제주4.3평화공원에서 바라본 하늘의 모습입니다. 탁 트인 시야에 사람도, 차도 얼마 없으니 몸도 마음도 편안해지는 것 같네요.",2023.12.04,5,"['#모먼츠인제주', '#제주', '#제주4.3평화공원']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,"제주4.3평화공원은 제주4.3을 아는 사람도, 모르는 사람도 반드시 가봐야 할 장소인 것 같습니다. 공원 자체가 정말 넓고 잘 되어있고, 4.3을 모르는 사람이 와도 잘 즐기다가 4.3도 알아갈 수 있을 것이라 생각합니다. 4.3을 아는 사람이 이 공원을 방문한다면 그 의미가 두 배, 세 배는 더 와닿는 장소입니다.",2023.12.04,5,"['#모먼츠인제주', '#제주', '#제주4.3평화공원']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,이용시간 6시까지 인거 보고 5시5분에 들어갔는데 5시까지 입장마감이라고 전시관 들어가지 못하게 하네요. 입장마감시간 어디에 써놨냐니까 전시관 앞에 써놓았고 인터넷에도 그렇게 올려놨다고 하는데 마감시간 안내는 어디에서도 찾을 수가 없었어요. 다른사람들은 전화로 문의하고 오는데 확인도 안하고 오느냐며 이상한사람 취급당했어요. 항의하는 와중에도 사람들이 (심지어 10명 넘는 단체까지) 계속오던데 참 안타깝네요. 대형 박물관도 아니고 1시간전에 입장마감하는건 너무 심한것 같아요. 사이트에 입장마감시간 정확히 올리시길.,2018.08.12,4,"['##제주43', '##제주43평화기년관', '##제주43사건']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,아픈역사 제주의 43공원. 해설사분께 해설 들으면서 꼭 한번 가보시길...,2018.06.27,5,"['#아픈역사', '#제주', '#43공원']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,#제주평화기념관 #제주43 #기억하겠습니다,2018.04.30,5,"['#제주평화기념관', '#제주43', '#기억하겠습니다']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,"내 할아버지.. 그리고 백부님의 비가 이곳에 있다.... 제주4.3 행발불명희생자...

이번 70주년 4.3 행사에서 이효리가 시를 낭독할때 할아버지 비석이 TV로 생중계 되었을땐.. 가슴뭉클한 아픔과 함께 멀리 타향에서 이제는 늙어 거동하게 힘든 내 부친께 부자가상봉하는 기쁨이였었다..

4.3의 기억을 잘 새기고... 왜곡되지 않은 기억으로 그리고 기록으로 후세에 일깨워줬으면 한다..",2018.04.30,5,[]
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,"이번에 대통령의 사과로 다시 한번 주목 받아서 찾아 봤습니다.
우리의 아픈 역사이지만 꼭 기억해야 할 사건 중 하나로 방문을 추천드립니다.",2018.04.30,5,[]
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,"4월의 제주는 여전히 큰 아픔을 간직하고 있습니다. 제주 4ᆞ3 평화공원에는 그 아픔을 조금이나 우리 서로 나누고자 기억하고, 기록합니다. 어느덧 70주년을 맞은 제주의 4월, 잊지않도록 붉은 동백꽃을 달아요.",2018.04.30,5,[]
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,#제주43 #제주43평화기념관,2018.04.30,5,"['#제주43', '#제주43평화기념관']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,#제주43 #제주43평화기념관,2018.04.30,5,"['#제주43', '#제주43평화기념관']"
제주4.3평화공원,5,#테마공원 #부모 #커플,https://www.visitjeju.net/kr/detail/view?contentsid=CONT_000000000500535&menuId=DOM_000001718000000000#p2,271,#제주43 #제주43평화기념관,2018.04.30,5,"['#제주43', '#제주43평화기념관']"
