"행정구역(시군구)별","이동규모별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별","이동규모별",총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건)
"전국","계",4636367,4636367,0,4569922,4569922,0,4728313,4728313,0,4733922,4733922,0,5183403,5183403,0,5004115,5004115,0,4412470,4412470,0
"서울특별시","계",958536,1008507,-49971,948896,977222,-28326,965717,988935,-23218,974176,970308,3868,1076183,1082959,-6776,999614,1037104,-37490,888184,879362,8822
"종로구","계",16221,17533,-1312,18110,17040,1070,16313,17164,-851,16132,16703,-571,17451,17955,-504,16537,17600,-1063,14821,15135,-314
"중구","계",14058,14197,-139,14065,13574,491,14691,14190,501,14558,13525,1033,15545,15304,241,15372,15295,77,13435,13163,272
"용산구","계",22836,24317,-1481,23915,23356,559,25327,24660,667,24363,23783,580,27905,26364,1541,26270,26950,-680,23022,22488,534
"성동구","계",29942,28790,1152,32208,28883,3325,33711,30946,2765,28216,31134,-2918,31415,34272,-2857,28581,31166,-2585,25726,26742,-1016
"광진구","계",37175,38582,-1407,37890,36866,1024,38519,38647,-128,38132,38475,-343,41336,41642,-306,39267,40380,-1113,35413,34803,610
"동대문구","계",33532,36200,-2668,32813,34810,-1997,37179,38040,-861,36543,36608,-65,39979,40110,-131,37574,37504,70,34220,32682,1538
"중랑구","계",37597,39358,-1761,36009,37527,-1518,35991,37773,-1782,34365,36956,-2591,40544,40852,-308,36955,39194,-2239,33556,32482,1074
"성북구","계",37314,42729,-5415,37404,41669,-4265,36983,40954,-3971,43008,39695,3313,42730,44857,-2127,40238,42286,-2048,37181,35902,1279
"강북구","계",27936,30133,-2197,27155,28514,-1359,27640,29852,-2212,26179,28514,-2335,29331,31752,-2421,26697,29983,-3286,23649,25133,-1484
"도봉구","계",26468,28733,-2265,25018,27515,-2497,24818,27458,-2640,23752,26727,-2975,26121,30433,-4312,24957,28436,-3479,20783,22815,-2032
"노원구","계",42676,45950,-3274,39336,45572,-6236,39148,43703,-4555,37151,42484,-5333,43101,47875,-4774,38857,43897,-5040,34589,36464,-1875
"은평구","계",44556,48819,-4263,42351,44778,-2427,43175,44615,-1440,45414,46100,-686,49797,48863,934,43128,44945,-1817,39213,40823,-1610
"서대문구","계",33509,33419,90,30988,31894,-906,30436,31495,-1059,31079,31212,-133,37473,35624,1849,31140,33046,-1906,31039,28781,2258
"마포구","계",41945,45513,-3568,39865,41273,-1408,42563,40392,2171,41767,40444,1323,47802,46846,956,45089,43985,1104,38510,37737,773
"양천구","계",36358,41062,-4704,31947,36274,-4327,32412,36402,-3990,31154,34444,-3290,38101,40536,-2435,34310,37429,-3119,29002,31611,-2609
"강서구","계",59822,55780,4042,60576,54394,6182,58316,57855,461,57488,56827,661,63718,65640,-1922,63584,62582,1002,54383,53352,1031
"구로구","계",35440,37977,-2537,33232,36786,-3554,35080,37507,-2427,36749,35414,1335,40812,41532,-720,35459,37984,-2525,33848,32428,1420
"금천구","계",22592,23492,-900,23222,23107,115,24108,23973,135,24645,23843,802,27674,26061,1613,27782,25603,2179,24631,23088,1543
"영등포구","계",41020,44376,-3356,42249,42136,113,43330,41093,2237,42935,40445,2490,54157,46195,7962,46082,43945,2137,41806,39398,2408
"동작구","계",42691,42619,72,40634,42793,-2159,44336,43331,1005,43527,42641,886,46392,47502,-1110,45918,47725,-1807,41127,41207,-80
"관악구","계",69318,68525,793,69968,68695,1273,75574,71346,4228,76482,73202,3280,81483,79600,1883,75949,76171,-222,75877,68934,6943
"서초구","계",42404,43192,-788,41208,43962,-2754,44496,47831,-3335,40583,41783,-1200,44123,47561,-3438,42963,48688,-5725,33993,36546,-2553
"강남구","계",59881,65817,-5936,57844,63524,-5680,58717,65442,-6725,60963,59416,1547,62129,65115,-2986,60663,63988,-3325,51268,52082,-814
"송파구","계",62994,64094,-1100,65698,63051,2647,64817,62407,2410,74326,68922,5404,69209,72459,-3250,67161,71221,-4060,59294,57548,1746
"강동구","계",40251,47300,-7049,45191,49229,-4038,38037,41859,-3822,44665,41011,3654,57855,48009,9846,49081,47101,1980,37798,38018,-220
"부산광역시","계",291892,306614,-14722,289720,306145,-16425,277147,297803,-20656,280809,298400,-17591,328364,340566,-12202,312025,326656,-14631,276635,288383,-11748
"중  구","계",4691,4952,-261,4638,4927,-289,4283,4951,-668,4684,4836,-152,5396,5165,231,5808,5340,468,4818,4914,-96
"서  구","계",9273,10946,-1673,9079,10523,-1444,10231,10344,-113,8793,9929,-1136,10924,11203,-279,10119,11096,-977,9781,9641,140
"동  구","계",7479,8682,-1203,8283,8706,-423,7819,8695,-876,9237,8423,814,10273,9625,648,9863,9794,69,8434,8416,18
"영도구","계",8197,9917,-1720,7934,9526,-1592,7296,9265,-1969,6849,8766,-1917,7648,9273,-1625,9509,10285,-776,7310,8313,-1003
"부산진구","계",34834,37377,-2543,36806,38688,-1882,32077,36933,-4856,34478,36212,-1734,42688,40349,2339,38106,40173,-2067,38586,35737,2849
"동래구","계",22903,24312,-1409,21500,23664,-2164,20356,23344,-2988,23385,22507,878,25489,26524,-1035,22674,24688,-2014,24671,22344,2327
"남  구","계",21441,24256,-2815,20163,23079,-2916,26935,25726,1209,23610,26725,-3115,25059,28342,-3283,22825,25536,-2711,21366,23879,-2513
"북  구","계",23325,24329,-1004,20369,24456,-4087,18509,22278,-3769,18873,22453,-3580,20260,24709,-4449,23762,24642,-880,17760,20140,-2380
"해운대구","계",33471,36052,-2581,30048,34474,-4426,30721,32930,-2209,31166,33798,-2632,37596,40820,-3224,34006,37212,-3206,27198,32472,-5274
"사하구","계",24477,26580,-2103,25843,26537,-694,22311,25222,-2911,22054,25741,-3687,23531,28233,-4702,25096,27590,-2494,21859,23718,-1859
"금정구","계",21790,22954,-1164,22338,22989,-651,21283,22353,-1070,19820,21894,-2074,22551,25907,-3356,22446,24428,-1982,18501,21587,-3086
"강서구","계",14283,8261,6022,13851,9828,4023,12320,10069,2251,13930,11069,2861,17146,13234,3912,15536,12316,3220,12269,11669,600
"연제구","계",17681,19640,-1959,19275,19666,-391,17909,17653,256,19191,18514,677,21502,21923,-421,19796,20519,-723,16670,18203,-1533
"수영구","계",19130,19235,-105,19940,19524,416,17945,19265,-1320,19266,19292,-26,23372,22531,841,21096,21355,-259,18951,18199,752
"사상구","계",15631,18303,-2672,16433,18284,-1851,14845,18057,-3212,14372,17402,-3030,15907,18566,-2659,16806,18452,-1646,14600,16401,-1801
"기장군","계",13286,10818,2468,13220,11274,1946,12307,10718,1589,11101,10839,262,19022,14162,4860,14577,13230,1347,13861,12750,1111
"대구광역시","계",201408,210247,-8839,200008,209854,-9846,205363,216174,-10811,203707,222001,-18294,230471,242817,-12346,208231,227675,-19444,185987,198864,-12877
"중  구","계",8743,9421,-678,8960,9471,-511,10544,10203,341,9552,10471,-919,11082,11283,-201,9866,10954,-1088,12714,9877,2837
"동  구","계",30215,29690,525,27633,28710,-1077,32875,32126,749,28574,31743,-3169,33506,34938,-1432,32972,33128,-156,27043,27661,-618
"서  구","계",14018,17892,-3874,13530,17819,-4289,14158,18407,-4249,14025,19114,-5089,14931,17278,-2347,12905,16055,-3150,10842,13415,-2573
"남  구","계",15423,17806,-2383,14903,16779,-1876,16309,17285,-976,16701,17879,-1178,18543,18672,-129,16578,17747,-1169,15426,15941,-515
"북  구","계",32664,34944,-2280,35610,35751,-141,33941,35520,-1579,34921,36893,-1972,42058,41168,890,39020,40635,-1615,33125,35713,-2588
"수성구","계",32261,36159,-3898,31705,36949,-5244,33317,38090,-4773,33756,38098,-4342,38638,42606,-3968,34017,39151,-5134,29639,33969,-4330
"달서구","계",41523,48435,-6912,40053,47985,-7932,43439,47111,-3672,45022,48827,-3805,49298,55348,-6050,40616,49100,-8484,38829,43995,-5166
"달성군","계",26561,15900,10661,27614,16390,11224,20780,17432,3348,21156,18976,2180,22415,21524,891,22257,20905,1352,18369,18293,76
"인천광역시","계",266125,262408,3717,254967,254487,480,270597,268561,2036,272124,272013,111,289203,298143,-8940,290820,285868,4952,267015,254052,12963
"중  구","계",13240,12546,694,13966,11711,2255,16525,13230,3295,22375,15088,7287,18921,16095,2826,20092,17316,2776,21172,15698,5474
"동  구","계",5220,5874,-654,4513,5154,-641,4718,6189,-1471,4159,5027,-868,4704,5522,-818,5626,5934,-308,5022,6146,-1124
"남  구","계",46410,41790,4620,41509,40197,1312,24251,24327,-76,0,0,0,0,0,0,0,0,0,0,0,0
"미추홀구","계",-,-,-,-,-,-,19445,20397,-952,39466,42820,-3354,44605,46068,-1463,46344,43697,2647,40726,40424,302
"연수구","계",31696,28043,3653,29251,27535,1716,31977,28257,3720,41068,32415,8653,46584,38757,7827,36530,36547,-17,29625,31789,-2164
"남동구","계",46405,47153,-748,47978,46222,1756,48605,48032,573,47095,49510,-2415,50073,53382,-3309,46750,49477,-2727,38418,43525,-5107
"부평구","계",46608,50067,-3459,43338,48537,-5199,40045,47478,-7433,40252,46878,-6626,41811,50446,-8635,44287,47405,-3118,42245,39720,2525
"계양구","계",24681,27290,-2609,23417,26829,-3412,21705,27039,-5334,21464,26432,-4968,23603,27405,-3802,27103,27590,-487,19313,22337,-3024
"서구","계",43709,42261,1448,42777,40946,1831,55326,45673,9653,48241,46022,2219,50339,52079,-1740,55297,49796,5501,62349,47281,15068
"강화군","계",5020,4720,300,5303,4672,631,5455,5116,339,5358,4991,367,5816,5708,108,6115,5467,648,5298,4746,552
"옹진군","계",3136,2664,472,2915,2684,231,2545,2823,-278,2646,2830,-184,2747,2681,66,2676,2639,37,2847,2386,461
"광주광역시","계",137762,143458,-5696,135696,142374,-6678,145539,150004,-4465,147871,151361,-3490,155111,160011,-4900,150298,154765,-4467,131466,138456,-6990
"동  구","계",10578,12366,-1788,10944,11534,-590,11902,12749,-847,14633,12935,1698,14798,12782,2016,13983,13437,546,13580,12210,1370
"서  구","계",32355,31215,1140,29134,30938,-1804,31243,32599,-1356,30702,32327,-1625,31665,33977,-2312,30678,33335,-2657,27538,29868,-2330
"남  구","계",19872,21570,-1698,19681,21272,-1591,20444,22136,-1692,22908,23046,-138,20548,23181,-2633,23188,23129,59,18093,19992,-1899
"북  구","계",39058,43054,-3996,40449,42971,-2522,45364,46010,-646,42459,45807,-3348,46590,48699,-2109,44406,45730,-1324,39792,41767,-1975
"광산구","계",35899,35253,646,35488,35659,-171,36586,36510,76,37169,37246,-77,41510,41372,138,38043,39134,-1091,32463,34619,-2156
"대전광역시","계",141970,146012,-4042,139671,145333,-5662,144358,150155,-5797,147608,155417,-7809,162369,167669,-5300,153401,157349,-3948,146037,147626,-1589
"동  구","계",20665,23358,-2693,20254,22269,-2015,23043,23631,-588,22740,23860,-1120,23961,25930,-1969,24336,23884,452,22352,22912,-560
"중  구","계",20756,22978,-2222,20857,22608,-1751,21764,23944,-2180,21894,23805,-1911,23280,25934,-2654,21462,23874,-2412,20567,22253,-1686
"서  구","계",48479,49163,-684,46954,48392,-1438,48522,49938,-1416,50952,53018,-2066,54879,56195,-1316,51591,53331,-1740,49045,50094,-1049
"유성구","계",38119,34073,4046,37782,34954,2828,37732,36566,1166,38868,38509,359,42724,41271,1453,40263,39922,341,40017,37087,2930
"대덕구","계",13951,16440,-2489,13824,17110,-3286,13297,16076,-2779,13154,16225,-3071,17525,18339,-814,15749,16338,-589,14056,15280,-1224
"울산광역시","계",94055,99032,-4977,86898,95085,-8187,84502,93944,-9442,92137,99987,-7850,93203,103078,-9875,91538,101150,-9612,78743,86279,-7536
"중구","계",17833,19844,-2011,17079,19994,-2915,14517,18913,-4396,15872,20478,-4606,16229,20397,-4168,16625,19505,-2880,13038,16114,-3076
"남구","계",29108,31427,-2319,26802,30036,-3234,26665,29942,-3277,27547,31751,-4204,32017,35179,-3162,29246,33277,-4031,26451,28554,-2103
"동구","계",17206,18403,-1197,12371,15798,-3427,11137,14509,-3372,10637,13691,-3054,11553,13615,-2062,11078,12878,-1800,9864,11344,-1480
"북구","계",14637,13538,1099,15016,13771,1245,15798,14329,1469,20556,16657,3899,16600,16734,-134,17086,18044,-958,13799,14489,-690
