,name,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,pop_2022,sido,city2
3,종로구,152737,154770,153065,151290,149384,144683,141379,서울특별시,서울특별시 종로구
4,중구,125249,125709,125725,126171,125240,122499,120437,서울특별시,서울특별시 중구
5,용산구,230241,229161,228999,228670,230040,222953,218650,서울특별시,서울특별시 용산구
6,성동구,299259,304808,308221,300889,293556,285990,281000,서울특별시,서울특별시 성동구
7,광진구,357215,357703,355559,351350,346682,339996,337416,서울특별시,서울특별시 광진구
8,동대문구,355069,350647,348052,346194,342837,337400,336644,서울특별시,서울특별시 동대문구
9,중랑구,411005,408226,403209,397015,394702,387350,385318,서울특별시,서울특별시 중랑구
10,성북구,450355,444055,435868,442650,437153,430528,430397,서울특별시,서울특별시 성북구
11,강북구,327195,324479,319164,313954,308055,299182,293660,서울특별시,서울특별시 강북구
12,도봉구,348220,344166,339413,333362,325257,317366,311694,서울특별시,서울특별시 도봉구
13,노원구,567581,554403,543752,532905,523037,510956,503734,서울특별시,서울특별시 노원구
14,은평구,491476,486794,483197,480032,479835,473307,466746,서울특별시,서울특별시 은평구
15,서대문구,314194,312800,310313,309397,312173,304819,306337,서울특별시,서울특별시 서대문구
16,마포구,379892,374915,375077,374035,371890,368905,364638,서울특별시,서울특별시 마포구
17,양천구,477739,471154,464185,458165,454251,447302,440881,서울특별시,서울특별시 양천구
18,강서구,595485,601691,596949,591796,580185,574315,569166,서울특별시,서울특별시 강서구
19,구로구,417551,410742,404497,406664,404408,396754,395315,서울특별시,서울특별시 구로구
20,금천구,235386,235154,233917,232810,231733,230811,229642,서울특별시,서울특별시 금천구
21,영등포구,370613,368550,367778,367678,379480,376837,375675,서울특별시,서울특별시 영등포구
22,동작구,400997,396217,396203,395963,391220,385483,380596,서울특별시,서울특별시 동작구
23,관악구,506851,503297,501957,500094,495060,485699,486752,서울특별시,서울특별시 관악구
24,서초구,447192,441102,433951,430826,425126,412279,404325,서울특별시,서울특별시 서초구
25,강남구,567115,556164,542364,545169,539231,533042,529102,서울특별시,서울특별시 강남구
26,송파구,657831,664496,666635,675961,667960,658338,658801,서울특별시,서울특별시 송파구
27,강동구,444168,436223,427573,436067,459970,462664,460067,서울특별시,서울특별시 강동구
29,중구,45208,44218,42795,41910,41523,40524,39689,부산광역시,부산광역시 중구
30,서구,112973,110039,110534,108229,108135,105164,105192,부산광역시,부산광역시 서구
31,동구,89826,88868,86912,88165,88901,87679,86462,부산광역시,부산광역시 동구
32,영도구,126362,123521,120109,116711,113342,110638,108156,부산광역시,부산광역시 영도구
33,부산진구,376526,371703,362357,357880,359886,353159,355917,부산광역시,부산광역시 부산진구
34,동래구,272745,270727,266515,271247,270745,266866,273226,부산광역시,부산광역시 동래구
35,남구,278779,273854,279917,274480,267731,262069,256333,부산광역시,부산광역시 남구
36,북구,310202,302924,296952,291132,283952,283211,278857,부산광역시,부산광역시 북구
37,해운대구,419853,412039,409347,406102,402169,396438,386785,부산광역시,부산광역시 해운대구
38,사하구,334603,333301,327791,321004,311757,306003,301987,부산광역시,부산광역시 사하구
39,금정구,244624,244469,242956,239062,232666,228049,221256,부산광역시,부산광역시 금정구
40,강서구,108909,117382,122957,129566,137957,142918,143207,부산광역시,부산광역시 강서구
41,연제구,207268,206742,207840,209395,209157,207144,203536,부산광역시,부산광역시 연제구
42,수영구,179324,179996,176246,176148,176894,175095,174806,부산광역시,부산광역시 수영구
43,사상구,232800,229219,223361,218094,212586,208298,203789,부산광역시,부산광역시 사상구
44,기장군,158527,161651,164864,164716,174545,177125,178614,부산광역시,부산광역시 기장군
46,중구,79712,78986,79401,77421,76547,74791,80199,대구광역시,대구광역시 중구
47,동구,351352,349379,351291,345469,341920,341436,339530,대구광역시,대구광역시 동구
48,서구,199507,191992,184372,175277,170700,164528,159827,대구광역시,대구광역시 서구
49,남구,156433,152845,150501,148113,146632,143175,141519,대구광역시,대구광역시 남구
50,북구,440383,441375,439489,437710,440263,437008,430912,대구광역시,대구광역시 북구
51,수성구,447011,439211,432759,428614,424314,417097,411553,대구광역시,대구광역시 수성구
