station,down_on_2016,down_off_2016,down_total_2016,down_kilo_2016,up_on_2016,up_off_2016,up_total_2016,up_kilo_2016,total_2016,on_ktx_2016,on_saemaul_2016,on_mugungwha_2016,on_commute_2016,on_total_2016,off_ktx_2016,off_saemaul_2016,off_mugungwha_2016,off_commute_2016,off_total_2016,down_on_2017,down_off_2017,down_total_2017,down_kilo_2017,up_on_2017,up_off_2017,up_total_2017,up_kilo_2017,total_2017,on_ktx_2017,on_saemaul_2017,on_mugungwha_2017,on_commute_2017,on_total_2017,off_ktx_2017,off_saemaul_2017,off_mugungwha_2017,off_commute_2017,off_total_2017,down_on_2018,down_off_2018,down_total_2018,down_kilo_2018,up_on_2018,up_off_2018,up_total_2018,up_kilo_2018,total_2018,on_ktx_2018,on_saemaul_2018,on_mugungwha_2018,on_commute_2018,on_total_2018,off_ktx_2018,off_saemaul_2018,off_mugungwha_2018,off_commute_2018,off_total_2018,down_on_2019,down_off_2019,down_total_2019,down_kilo_2019,up_on_2019,up_off_2019,up_total_2019,up_kilo_2019,total_2019,on_ktx_2019,on_saemaul_2019,on_mugungwha_2019,on_commute_2019,on_total_2019,off_ktx_2019,off_saemaul_2019,off_mugungwha_2019,off_commute_2019,off_total_2019,down_on_2020,down_off_2020,down_total_2020,down_kilo_2020,up_on_2020,up_off_2020,up_total_2020,up_kilo_2020,total_2020,on_ktx_2020,on_saemaul_2020,on_mugungwha_2020,on_commute_2020,on_total_2020,off_ktx_2020,off_saemaul_2020,off_mugungwha_2020,off_commute_2020,off_total_2020,down_on_2021,down_off_2021,down_total_2021,down_kilo_2021,up_on_2021,up_off_2021,up_total_2021,up_kilo_2021,total_2021,on_ktx_2021,on_saemaul_2021,on_mugungwha_2021,on_commute_2021,on_total_2021,off_ktx_2021,off_saemaul_2021,off_mugungwha_2021,off_commute_2021,off_total_2021,down_on_2022,down_off_2022,down_total_2022,down_kilo_2022,up_on_2022,up_off_2022,up_total_2022,up_kilo_2022,total_2022,on_ktx_2022,on_saemaul_2022,on_mugungwha_2022,on_commute_2022,on_total_2022,off_ktx_2022,off_saemaul_2022,off_mugungwha_2022,off_commute_2022,off_total_2022
각계,0.0,0.0,0.0,0.0,475.0,6.0,481.0,640.0,481.0,0.0,0.0,475.0,0.0,475.0,0.0,0.0,6.0,0.0,6.0,0,7,7.0,6369.9,462,12,474.0,10919.9,481.0,0.0,0.0,462.0,0.0,462.0,0.0,0.0,19.0,0.0,19.0,0,0,0,0,405,8,413,15813,413.0,0,0.0,405.0,0.0,405,0,0.0,8.0,0.0,8,0.0,0.0,0.0,0.0,350.0,14.0,364.0,13906.1,364.0,0.0,0.0,350.0,0.0,350.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,202.0,17.0,219.0,8024.9,219.0,0.0,0.0,202.0,0.0,202.0,0.0,0.0,17.0,0.0,17.0,286.0,12.0,298.0,10295.6,0.0,0.0,0.0,0.0,298.0,0.0,0.0,286.0,0.0,286.0,0.0,0.0,12.0,0.0,12.0,372.0,16.0,388.0,14326.0,,,,,388.0,0.0,0.0,372.0,0.0,372.0,0.0,0.0,16.0,0.0,16.0
강경,29781.0,114890.0,144671.0,15222925.0,114280.0,33367.0,147647.0,6863592.0,292318.0,0.0,20004.0,124057.0,0.0,144061.0,0.0,25732.0,122525.0,0.0,148257.0,21337,113795,135132.0,12291938.7,115298,27114,142412.0,2926206.9,277544.0,0.0,17284.0,119351.0,0.0,136635.0,0.0,24543.0,116366.0,0.0,140909.0,20947,111797,132744,11571975,113438,27717,141155,2900491,273899.0,0,15472.0,118913.0,0.0,134385,0,21407.0,118107.0,0.0,139514,22404.0,108777.0,131181.0,11407105.54,113394.0,28542.0,141936.0,2993586.16,273117.0,0.0,16748.0,119050.0,0.0,135798.0,0.0,20843.0,116476.0,0.0,137319.0,13716.0,70512.0,84228.0,6764207.1,71535.0,18304.0,89839.0,1763455.4,174067.0,0.0,11267.0,73984.0,0.0,85251.0,0.0,14137.0,74679.0,0.0,88816.0,15608.0,72841.0,88449.0,7103967.5,75239.0,19213.0,94452.0,1884253.1,182901.0,0.0,10122.0,80725.0,0.0,90847.0,0.0,13688.0,78366.0,0.0,92054.0,18571.0,83527.0,102098.0,8494830.05,86308.0,21628.0,107936.0,2224776.05,210034.0,0.0,13357.0,91522.0,0.0,104879.0,0.0,18820.0,86335.0,0.0,105155.0
개포,5765.0,3.0,5768.0,257.0,1.0,146.0,147.0,7986.0,5915.0,0.0,0.0,5766.0,0.0,5766.0,0.0,0.0,149.0,0.0,149.0,6340,1,6341.0,6910.7,2,124,126.0,856929.7,6467.0,0.0,0.0,6342.0,0.0,6342.0,0.0,0.0,125.0,0.0,125.0,6429,3,6432,11825,3,217,220,855332,6652.0,0,0.0,6432.0,0.0,6432,0,0.0,220.0,0.0,220,5766.0,93.0,5859.0,50276.56,70.0,643.0,713.0,347611.04,6572.0,0.0,0.0,5836.0,0.0,5836.0,0.0,0.0,736.0,0.0,736.0,3991.0,111.0,4102.0,26424.51,149.0,1063.0,1212.0,253056.39,5314.0,0.0,0.0,4140.0,0.0,4140.0,0.0,0.0,1174.0,0.0,1174.0,1406.0,114.0,1520.0,15204.7,123.0,567.0,690.0,75623.4,2210.0,0.0,0.0,1529.0,0.0,1529.0,0.0,0.0,681.0,,681.0,3947.0,198.0,4145.0,20988.47,229.0,2179.0,2408.0,230979.23,6553.0,0.0,0.0,4176.0,0.0,4176.0,0.0,0.0,2377.0,0.0,2377.0
경산,517970.0,603601.0,1121571.0,118370810.0,623994.0,509941.0,1133935.0,18605122.0,2255506.0,53449.0,54605.0,1033910.0,0.0,1141964.0,47076.0,39573.0,1026893.0,0.0,1113542.0,494186,625924,1120110.0,54218332.5,658469,475633,1134102.0,38434610.9,2254212.0,43001.0,78178.0,1031476.0,0.0,1152655.0,37954.0,56237.0,1007366.0,0.0,1101557.0,484012,636740,1120752,54737094,668327,465209,1133536,36594343,2254288.0,48959,74928.0,1028452.0,0.0,1152339,42331,54527.0,1005091.0,0.0,1101949,477310.0,628062.0,1105372.0,54301134.85,668396.0,461384.0,1129780.0,36572105.45,2235152.0,58245.0,88947.0,998514.0,0.0,1145706.0,51200.0,62412.0,975834.0,0.0,1089446.0,282377.0,396436.0,678813.0,33195025.71,415848.0,275306.0,691154.0,20181548.59,1369967.0,38774.0,52786.0,606665.0,0.0,698225.0,32184.0,37042.0,602516.0,0.0,671742.0,301491.0,461488.0,762979.0,37280464.220000006,485630.0,294106.0,779736.0,20935021.78,1542715.0,45981.0,56270.0,684870.0,0.0,787121.0,40060.0,44616.0,670918.0,0.0,755594.0,376340.0,588509.0,964849.0,46944891.03,581701.0,337880.0,919581.0,24014035.87,1884430.0,56447.0,67482.0,834112.0,0.0,958041.0,51600.0,58460.0,816329.0,0.0,926389.0
경주,221810.0,258120.0,479930.0,54902124.0,259543.0,240043.0,499586.0,7705380.0,979516.0,0.0,2324.0,479029.0,0.0,481353.0,0.0,2324.0,495839.0,0.0,498163.0,211063,257524,468587.0,16901787.5,270973,243555,514528.0,15922938.7,983115.0,0.0,311.0,481725.0,0.0,482036.0,0.0,334.0,500745.0,0.0,501079.0,215783,229396,445179,14601839,253599,260807,514406,16526438,959585.0,0,335.0,469047.0,0.0,469382,0,356.0,489847.0,0.0,490203,218423.0,235492.0,453915.0,15040412.64,263450.0,263794.0,527244.0,16834894.06,981159.0,0.0,573.0,481300.0,0.0,481873.0,0.0,578.0,498708.0,0.0,499286.0,131717.0,157596.0,289313.0,9417456.33,172102.0,157818.0,329920.0,9430722.37,619233.0,0.0,0.0,303819.0,0.0,303819.0,0.0,0.0,315414.0,0.0,315414.0,176887.0,199211.0,376098.0,12528664.23,195034.0,184590.0,379624.0,11609128.67,755722.0,0.0,0.0,371921.0,0.0,371921.0,0.0,0.0,383801.0,0.0,383801.0,8.0,74.0,82.0,3110.89,74.0,8.0,82.0,336.31,164.0,0.0,0.0,82.0,0.0,82.0,0.0,0.0,82.0,0.0,82.0
계룡,59875.0,233622.0,293497.0,26025490.0,234358.0,54726.0,289084.0,11698881.0,582581.0,113088.0,43889.0,137256.0,0.0,294233.0,94629.0,46326.0,147393.0,0.0,288348.0,67091,232537,299628.0,34171972.3,235315,62733,298048.0,7700930.8,597676.0,117363.0,45209.0,139834.0,0.0,302406.0,98074.0,43039.0,154157.0,0.0,295270.0,68593,246654,315247,35532898,248056,63541,311597,7728420,626844.0,126715,46924.0,143010.0,0.0,316649,109233,44171.0,156791.0,0.0,310195,68221.0,255936.0,324157.0,36755701.92,257609.0,64552.0,322161.0,7863149.979999999,646318.0,131012.0,48453.0,146365.0,0.0,325830.0,115461.0,45343.0,159684.0,0.0,320488.0,42224.0,155449.0,197673.0,22109365.8,158463.0,40316.0,198779.0,4942240.6,396452.0,79556.0,29028.0,92103.0,0.0,200687.0,71247.0,31736.0,92782.0,0.0,195765.0,47438.0,159033.0,206471.0,22492474.0,163971.0,46105.0,210076.0,5632093.300000001,416547.0,85829.0,33305.0,92275.0,0.0,211409.0,76952.0,34680.0,93506.0,0.0,205138.0,61376.0,210115.0,271491.0,29830021.79,217423.0,60458.0,277881.0,7381834.51,549372.0,118030.0,50163.0,110606.0,0.0,278799.0,108062.0,50660.0,111851.0,0.0,270573.0
고한,14135.0,23790.0,37925.0,1898442.0,26770.0,13487.0,40257.0,202305.0,78182.0,0.0,0.0,40905.0,0.0,40905.0,0.0,0.0,37277.0,0.0,37277.0,12835,22469,35304.0,3034438.0,23965,11446,35411.0,1639853.4,70715.0,0.0,459.0,36341.0,0.0,36800.0,0.0,112.0,33803.0,0.0,33915.0,12464,22066,34530,2937668,22204,11414,33618,1519557,68148.0,0,0.0,34668.0,0.0,34668,0,0.0,33480.0,0.0,33480,15092.0,21776.0,36868.0,2981627.16,23828.0,13489.0,37317.0,1846949.34,,0.0,0.0,38920.0,0.0,38920.0,0.0,0.0,35265.0,0.0,35265.0,7693.0,12547.0,20240.0,1560491.18,12796.0,6724.0,19520.0,836275.02,,0.0,0.0,20489.0,0.0,20489.0,0.0,0.0,19271.0,0.0,19271.0,6132.0,14849.0,20981.0,1801933.5,14791.0,5870.0,20661.0,712327.4,41642.0,0.0,0.0,20923.0,0.0,20923.0,0.0,0.0,20719.0,0.0,20719.0,9630.0,21234.0,30864.0,2624600.34,21150.0,8845.0,29995.0,1093274.46,60859.0,0.0,0.0,30780.0,0.0,30780.0,0.0,0.0,30079.0,0.0,30079.0
곡성,52953.0,88235.0,141188.0,16762277.0,86166.0,55135.0,141301.0,8787964.0,282489.0,23976.0,10151.0,104992.0,0.0,139119.0,21689.0,13886.0,107795.0,0.0,143370.0,55276,98818,154094.0,14646662.2,93226,57590,150816.0,7186463.7,304910.0,34177.0,16374.0,97951.0,0.0,148502.0,36801.0,20154.0,99453.0,0.0,156408.0,55540,99677,155217,15011047,94468,57512,151980,7428956,307197.0,37485,16045.0,96478.0,0.0,150008,42715,18718.0,95756.0,0.0,157189,54071.0,99904.0,153975.0,15227448.78,94211.0,54839.0,149050.0,6922351.0200000005,303025.0,39001.0,16264.0,93017.0,0.0,148282.0,43928.0,18839.0,91976.0,0.0,154743.0,30119.0,50788.0,80907.0,8280522.790000001,50049.0,30208.0,80257.0,4050649.41,161164.0,28570.0,6198.0,45400.0,0.0,80168.0,29307.0,5625.0,46064.0,0.0,80996.0,33043.0,55193.0,88236.0,9201158.72,55883.0,33443.0,89326.0,4008963.18,177562.0,31241.0,6336.0,51349.0,0.0,88926.0,30987.0,6341.0,51308.0,0.0,88636.0,49368.0,78738.0,128106.0,12420546.909999998,76987.0,50697.0,127684.0,5485617.49,255790.0,39408.0,12495.0,74452.0,0.0,126355.0,42256.0,12394.0,74785.0,0.0,129435.0
광명,4113095.0,124708.0,4237803.0,1970386.0,134613.0,4120751.0,4255364.0,829919251.0,8493167.0,4247708.0,0.0,0.0,0.0,4247708.0,4245459.0,0.0,0.0,0.0,4245459.0,4049355,120799,4170154.0,31396979.0,121973,4032354,4154327.0,1048052829.0,8324481.0,4171328.0,0.0,0.0,0.0,4171328.0,4153153.0,0.0,0.0,0.0,4153153.0,4527436,164049,4691485,41477521,169092,4574649,4743741,1156636746,9435226.0,4696528,0.0,0.0,0.0,4696528,4738698,0.0,0.0,0.0,4738698,4748637.0,240296.0,4988933.0,59209976.34,261992.0,4816796.0,5078788.0,1187798653.66,10067721.0,5010357.0,272.0,0.0,0.0,5010629.0,5056820.0,272.0,0.0,0.0,5057092.0,3117352.0,219534.0,3336886.0,53900932.29,238768.0,3043489.0,3282257.0,747250514.81,6619143.0,3356120.0,0.0,0.0,0.0,3356120.0,3263023.0,0.0,0.0,0.0,3263023.0,3436472.0,246099.0,3682571.0,59481462.5,261003.0,3358074.0,3619077.0,811637400.8,7301648.0,3697475.0,0.0,0.0,0.0,3697475.0,3604173.0,0.0,0.0,0.0,3604173.0,4559683.0,358962.0,4918645.0,84974033.21,381784.0,4533909.0,4915693.0,1073273867.19,9834338.0,4941467.0,0.0,0.0,0.0,4941467.0,4892871.0,0.0,0.0,0.0,4892871.0
광양,705.0,5279.0,5984.0,794490.0,4783.0,947.0,5730.0,53506.0,11714.0,0.0,0.0,5488.0,0.0,5488.0,0.0,0.0,6226.0,0.0,6226.0,2090,7765,9855.0,1165086.1,7512,2296,9808.0,378749.4,19663.0,0.0,389.0,9213.0,0.0,9602.0,0.0,389.0,9672.0,0.0,10061.0,1833,11457,13290,1564172,10013,2721,12734,357884,26024.0,0,1366.0,10480.0,0.0,11846,0,1174.0,13004.0,0.0,14178,1775.0,10684.0,12459.0,1518655.28,9418.0,2230.0,11648.0,286392.32,24107.0,0.0,495.0,10698.0,0.0,11193.0,0.0,303.0,12611.0,0.0,12914.0,522.0,6715.0,7237.0,658478.94,6239.0,914.0,7153.0,89627.66,14390.0,0.0,0.0,6761.0,0.0,6761.0,0.0,0.0,7629.0,0.0,7629.0,745.0,8174.0,8919.0,788628.65,7802.0,1213.0,9015.0,117155.05,17934.0,0.0,18.0,8529.0,0.0,8547.0,0.0,10.0,9377.0,0.0,9387.0,925.0,10352.0,11277.0,898611.05,9504.0,1382.0,10886.0,122761.85,22163.0,0.0,477.0,9952.0,0.0,10429.0,0.0,306.0,11428.0,0.0,11734.0
