,h17_merkey,pid,inhouse_num,relation,sex,birth,edu,edu_detail,disable_type,disable_degree,marriage,religion,live_together,industry,job,inc_regular,inc_temp,inc_owner,age,sex_factor,marriage2,religion_factor,inc,inc_log,h17_reg5,h17_reg7,region5,region7
0,20101.0,201.0,1.0,10.0,2.0,1945.0,4.0,5.0,0.0,0.0,2.0,1,1.0,,,,,,78,female,2.0,yes,,,1.0,1.0,서울,서울
1,30101.0,301.0,1.0,10.0,1.0,1948.0,3.0,5.0,0.0,0.0,2.0,0,1.0,75.0,942.0,,2064.0,,75,male,2.0,no,2064.0,7.6324011266014535,1.0,1.0,서울,서울
2,40101.0,401.0,1.0,10.0,1.0,1942.0,7.0,3.0,0.0,0.0,3.0,1,1.0,42.0,762.0,,1200.0,,81,male,2.0,yes,1200.0,7.090076835776092,1.0,1.0,서울,서울
3,60101.0,601.0,1.0,10.0,1.0,1962.0,6.0,5.0,0.0,0.0,1.0,1,1.0,47.0,855.0,3216.0,,,61,male,1.0,yes,3216.0,8.075893630298857,1.0,1.0,서울,서울
4,60101.0,602.0,2.0,20.0,2.0,1963.0,5.0,5.0,0.0,0.0,1.0,1,1.0,84.0,399.0,,1680.0,,60,female,1.0,yes,1680.0,7.426549072397305,1.0,1.0,서울,서울
5,60101.0,603.0,3.0,11.0,2.0,2003.0,5.0,1.0,0.0,0.0,5.0,1,1.0,,,,,,20,female,0.0,yes,,,1.0,1.0,서울,서울
6,60101.0,604.0,4.0,1.0,1.0,1927.0,4.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,96,male,1.0,yes,,,1.0,1.0,서울,서울
7,80101.0,801.0,1.0,10.0,2.0,1940.0,3.0,3.0,1.0,2.0,2.0,1,1.0,84.0,941.0,,324.0,,83,female,2.0,yes,324.0,5.780743515792329,3.0,2.0,시,"수도권(경기, 인천)"
8,100101.0,1001.0,1.0,10.0,2.0,1970.0,5.0,5.0,0.0,0.0,3.0,1,1.0,97.0,151.0,,,360.0,53,female,2.0,yes,360.0,5.886104031450156,1.0,1.0,서울,서울
9,100101.0,1002.0,2.0,11.0,2.0,1992.0,4.0,3.0,0.0,0.0,5.0,0,1.0,,,,120.0,,31,female,0.0,no,120.0,4.787491742782046,1.0,1.0,서울,서울
10,120101.0,1201.0,1.0,10.0,1.0,1940.0,4.0,5.0,0.0,0.0,1.0,0,1.0,,,,,,83,male,1.0,no,,,1.0,1.0,서울,서울
11,120101.0,1202.0,2.0,20.0,2.0,1941.0,2.0,0.0,0.0,0.0,1.0,0,1.0,,,,,,82,female,1.0,no,,,1.0,1.0,서울,서울
12,140101.0,1401.0,1.0,10.0,1.0,1962.0,6.0,5.0,0.0,0.0,5.0,1,1.0,,,,359.0,,61,male,0.0,yes,359.0,5.883322388488279,1.0,1.0,서울,서울
13,150101.0,1501.0,1.0,10.0,1.0,1978.0,7.0,5.0,0.0,0.0,1.0,0,1.0,94.0,399.0,,3270.0,,45,male,1.0,no,3270.0,8.0925452638913,1.0,1.0,서울,서울
14,150101.0,1502.0,2.0,20.0,2.0,1975.0,7.0,5.0,0.0,0.0,1.0,0,1.0,85.0,254.0,,2627.0,,48,female,1.0,no,2627.0,7.87359778968554,1.0,1.0,서울,서울
15,150101.0,1503.0,3.0,11.0,2.0,2004.0,5.0,1.0,0.0,0.0,0.0,0,1.0,,,,,,19,female,,no,,,1.0,1.0,서울,서울
16,150101.0,1504.0,4.0,12.0,2.0,2008.0,4.0,1.0,0.0,0.0,0.0,0,1.0,,,,,,15,female,,no,,,1.0,1.0,서울,서울
17,160101.0,1601.0,1.0,10.0,1.0,1941.0,5.0,5.0,0.0,0.0,1.0,1,1.0,,,,,,82,male,1.0,yes,,,1.0,1.0,서울,서울
18,160101.0,1602.0,2.0,20.0,2.0,1942.0,3.0,5.0,0.0,0.0,1.0,1,1.0,65.0,510.0,,1200.0,,81,female,1.0,yes,1200.0,7.090076835776092,1.0,1.0,서울,서울
19,170101.0,1701.0,1.0,10.0,1.0,1964.0,3.0,5.0,1.0,1.0,5.0,0,1.0,,,,,,59,male,0.0,no,,,1.0,1.0,서울,서울
20,200101.0,2001.0,1.0,10.0,1.0,1975.0,7.0,5.0,0.0,0.0,5.0,1,1.0,47.0,521.0,,,4000.0,48,male,0.0,yes,4000.0,8.294049640102028,1.0,1.0,서울,서울
21,240101.0,2402.0,1.0,10.0,1.0,1961.0,4.0,5.0,0.0,0.0,1.0,0,1.0,42.0,783.0,,4590.0,,62,male,1.0,no,4590.0,8.431635303054591,1.0,1.0,서울,서울
22,240101.0,2401.0,2.0,20.0,2.0,1961.0,4.0,5.0,0.0,0.0,1.0,1,1.0,56.0,952.0,,583.0,,62,female,1.0,yes,583.0,6.368187186350492,1.0,1.0,서울,서울
23,240101.0,2404.0,3.0,12.0,2.0,1986.0,6.0,3.0,0.0,0.0,5.0,0,1.0,74.0,399.0,3470.0,,,37,female,0.0,no,3470.0,8.151909872940905,1.0,1.0,서울,서울
24,250101.0,2506.0,1.0,10.0,1.0,1952.0,5.0,5.0,0.0,0.0,1.0,0,1.0,42.0,783.0,,3720.0,,71,male,1.0,no,3720.0,8.221478947267192,1.0,1.0,서울,서울
25,250101.0,2501.0,2.0,20.0,2.0,1962.0,5.0,5.0,0.0,0.0,1.0,1,1.0,75.0,941.0,,1800.0,,61,female,1.0,yes,1800.0,7.495541943884256,1.0,1.0,서울,서울
