읍면동,민박명,소재지,데이터기준일
한림읍,기영 민박,제주시 한림읍 한림로 345,20211123
한림읍,에너벨리,제주시 한림읍 한림로 356,20211123
한림읍,협재 빌리지,제주시 한림읍 한림로 338-1,20211123
한림읍,해송민박,제주시 한림읍 협재4길 7-15,20211123
한림읍,영심 민박,제주시 한림읍 협재4길 7-7,20211123
한림읍,원룸민박,제주시 한림읍 비양도길 275,20211123
한림읍,바다그리기,제주시 한림읍 옹포2길 16,20211123
한림읍,비양도 민박,제주시 한림읍 비양도길 8,20211123
한림읍,해조대 민박,제주시 한림읍 한림로 339,20211123
한림읍,이쁜새민박,제주시 한림읍 협재로 68-5,20211123
한림읍,월령 코지,제주시 한림읍 월령3길 39-22,20211123
한림읍,해피데이,제주시 한림읍 한림로 423,20211123
한림읍,성원민박,제주시 한림읍 비양도길 24,20211123
한림읍,민박하얀집,제주시 한림읍 협재1길 9,20211123
한림읍,향나무민박,제주시 한림읍 한림로 537,20211123
한림읍,코지하우스민박,제주시 한림읍 금능9길 28,20211123
한림읍,마레게스트하우스 민박,제주시 한림읍 한림로 197,20211123
한림읍,풍차와 바다,제주시 한림읍 월령3길 36,20211123
한림읍,삼보민박,제주시 한림읍 명월성로 627,20211123
한림읍,까사루나 민박,제주시 한림읍 명월로 3-6,20211123
한림읍,바당다레 민박,제주시 한림읍 한림로 322,20211123
한림읍,예함민박,제주시 한림읍 명재로 1,20211123
한림읍,공감 3081 민박,제주시 한림읍 한림해안로 714,20211123
한림읍,달숲하우스 민박,제주시 한림읍 명재로 35,20211123
한림읍,집들이 민박,제주시 한림읍 협재1길 39,20211123
한림읍,오시록헌 민박,제주시 한림읍 금능6길 8,20211123
한림읍,라만차,제주시 한림읍 금능 6길 16-5,20211123
한림읍,낭빌레,제주시 한림읍 협재로 181-7,20211123
한림읍,쉼게스트하우스 민박,제주시 한림읍 옹포2길 30,20211123
한림읍,낭뜨레,제주시 한림읍 명월로4길 1,20211123
한림읍,늘푸른 민박,제주시 한림읍 협재로 210-36,20211123
한림읍,밥게스트하우스 민박,제주시 한림읍 협재4길 7-4,20211123
